stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,1,9,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,3.28,0,0,0.82,0,3.28,0,0,0,0,0,1.64,0,2.46,60.74,4.1,0,0,0.82,0,0,17.24,0,0,0,0,0
 36-46,0,0,0,0,0,34.64,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,162.75,0.81,0.81,0,0,0,0,42.7,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,148.04,0,0,4.02,0,1.15,0,0,0,0,0,2.3,0.57,1.72,220.91,1.72,0,0,0,0,0,44.18,0,0,0,0,0
 60-70,0,0,0,0,0,575.17,0,0,14.72,0,1.96,0,0.98,0,0,0,2.94,0,0,434.81,0,0.98,0.98,0,0,0,53.98,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,420.15,0,0,21.6,0.98,0,0.98,0,0,0.98,0,7.85,0.98,0.98,271.92,2.94,0,0,0,0,0,17.67,0,0,0.98,0,0
 84-94,0,1.06,0,2.12,2.12,303.74,1.06,1.06,20.18,2.12,1.06,0,0,1.06,0,0,7.43,0,0,137,1.06,0,0,2.12,1.06,0,11.68,0,0,0,1.06,0
 96-106,0,1.09,0,2.19,1.09,177.04,1.09,0,13.11,0,2.19,0,1.09,0,1.09,0,4.37,2.19,0,118.03,5.46,0,2.19,2.19,0,0,5.46,2.19,1.09,0,0,0
108-118,0,0,0,0.77,0.77,101.87,0,0,19.92,0.77,2.3,0,0,0,0.77,0,2.3,2.3,0.77,107.23,1.53,0,0,0,0,0,5.36,0,0,0,0,0
120,0,0,0,3.92,0,113.67,3.92,0,7.84,0,1.96,0,0,0,0,0,5.88,1.96,0,125.43,1.96,0,0,0,0,0,5.88,1.96,0,0,1.96,0
