stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.67,3.15,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,7,1383,3,1,0,2,0,3,1,0,4,0,21,0,2,1,61,4,0,60,35,0,0,4,0,0,7,5,1,0,6,6,0,0,0,0
 24-34,0.82,0,0,0,711.68,0.82,9.03,0,56.64,0.82,1.64,0,0.82,7.39,0,0,0.82,2.46,0,82.91,8.21,2.46,50.07,56.64,0,0.82,0.82,0,0.82,4.1,1.64,0,0,0.82,9.85,0,0.82,0,0
 36-46,0,0,0,0,265.87,0,2.42,0,107.96,0,1.61,0,0,4.83,0,0,0,0.81,0,63.65,1.61,4.03,18.53,37.06,0,2.42,0.81,0,0.81,1.61,0,0,0,0,5.64,0.81,0.81,0,0
 48-58,0,0,0,0,179.03,1.15,8.61,0,161.81,0.57,2.3,0,0,2.87,0,0,0,0,0,36.72,1.15,8.61,5.74,26.4,0,0.57,0,0,0.57,1.72,0,0,0.57,0,4.59,0,0,0,0
 60-70,0,0,0,0,141.34,0,37.3,0,124.65,0,0,0,0,0.98,0,0,0,0,0,19.63,0,4.91,2.94,16.69,0,0.98,0,0,1.96,0,0,0.98,0,0,0.98,0.98,0,2.94,0
 72-82,0,0,0,0,84.42,0.98,278.79,0,137.43,0.98,16.69,0,0,0,0,0,0,0.98,0,20.61,2.94,5.89,0,29.45,0,1.96,0,0,1.96,0,0,0,0,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,159.31,1.06,193.29,0,192.23,1.06,13.81,1.06,0,3.19,0,0,0,0,0,11.68,1.06,8.5,5.31,20.18,0,0,1.06,0,1.06,2.12,0,0,0,0,2.12,1.06,0,2.12,0
 96-106,0,0,1.09,0,112.56,1.09,309.28,1.09,151.91,1.09,15.3,2.19,0,0,1.09,0,0,1.09,0,17.49,1.09,0,1.09,32.79,0,0,1.09,0,2.19,1.09,0,0,0,0,0,0,1.09,0,2.19
108-118,0,0,0,0,109.53,0,197.62,0,166.21,1.53,8.43,3.06,0,0,0.77,0,0,0,0,17.62,1.53,3.83,0.77,20.68,0,1.53,0,0,3.06,0.77,0,0.77,0,0,2.3,0.77,0.77,1.53,0
120,0,0,0,0,50.95,0,133.27,0,94.07,1.96,7.84,0,0,0,0,0,0,0,0,9.8,0,1.96,1.96,11.76,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
