stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,4,0,4,0,0,0,0,2,0,4,0,0,0,0,0,0,8,0,0,1,18,0,0,0,0,0,2,0,3,0,14,6,5,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,4.93,0,0,0,0.82,0.82,0.82,1.64,0.82,0.82,0,0,0,0.82,4.93,0,0,2.46,18.88,0,0.82,0,0,0.82,2.46,0,0,0,6.57,3.28,8.21,0,2.46,0,2.46
 36-46,0,0,0,0,1.61,0,0,4.03,0.81,0,0,2.42,0.81,0,0,0.81,0.81,0,0,0,0.81,5.64,0,0,0,13.7,1.61,0,2.42,0,0,1.61,0,0,0.81,1.61,0,3.22,0,1.61,0,1.61
 48-58,0,0,0,0,0,0,0,6.31,0.57,0,0,1.72,0,0,0,1.15,0,0.57,0.57,0,2.3,2.3,0,0,1.72,12.05,0,0.57,0,0,0,0,0,0,0,0,0,2.87,0,0,0,2.3
 60-70,0,0,0.98,0,0,0.98,0,6.87,1.96,0,0,2.94,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0.98,9.82,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0,1.96,0,0
 72-82,0,0,0.98,0,0.98,2.94,0,6.87,0,0,0,5.89,0.98,0,0,0,0,0,0,0,0,7.85,0,0.98,0.98,6.87,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,4.25,0,12.74,1.06,0,1.06,4.25,4.25,0,0,2.12,0,0,1.06,2.12,0,4.25,1.06,0,1.06,12.74,0,3.19,1.06,0,0,2.12,0,0,0,3.19,0,1.06,0,4.25,0,0
 96-106,0,0,1.09,0,2.19,2.19,1.09,13.11,0,0,0,8.74,3.28,0,0,5.46,0,0,0,2.19,1.09,5.46,0,0,2.19,10.93,0,4.37,1.09,0,0,4.37,0,0,0,2.19,0,0,0,1.09,0,2.19
108-118,0,0,0.77,0,1.53,1.53,3.83,13.02,0,0.77,0,10.72,3.83,0,0,7.66,1.53,2.3,0,3.83,0.77,7.66,0,0.77,1.53,21.45,0,1.53,0.77,0,0,0.77,0,0,0,0.77,0,0,0.77,2.3,0.77,0
120,0,0,0,0,1.96,3.92,0,7.84,3.92,0,0,15.68,5.88,0,0,3.92,1.96,0,0,0,0,1.96,0,0,3.92,23.52,0,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0
