stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,1,6,1,0,0,0,1,1,0,0,4,25,0,0
 24-34,0,0,0,0,0.82,0,3.28,0.82,0,5.75,0,0,0,0,0,0,0.82,0,0.82,4.1,0,0.82,13.13,0.82,0.82,0,0,4.1,0,0,0,3.28,55,0,0
 36-46,0,0,0,1.61,0,0,2.42,0,0,6.45,0,0,0,0,0,0,0,0,6.45,4.03,0.81,1.61,15.31,0,2.42,0,0,2.42,0,0,0.81,0,31.42,0,1.61
 48-58,0,0,0,0,0,0,4.02,0,0,14.35,0,0,0,0,0,0.57,0,0,2.87,6.89,0,0.57,11.48,0,4.59,0.57,0,0,0,0,0,0,20.08,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,15.7,0,0,0,0,0,0.98,0,0,1.96,16.69,0,0,6.87,0.98,4.91,0,0,2.94,0,0,0,0,11.78,0,0
 72-82,0,0,0,0.98,0,0.98,4.91,0,0,30.43,0,0,0,0.98,0,0,0,0,0.98,18.65,0.98,0.98,8.83,0,4.91,0,0,1.96,0,0,0,0,11.78,0,0.98
 84-94,0,0,0,3.19,0,0,7.43,0,1.06,24.43,3.19,0,0,1.06,1.06,1.06,1.06,1.06,3.19,18.05,1.06,2.12,2.12,1.06,9.56,0,0,5.31,0,0,1.06,0,23.36,0,1.06
 96-106,0,0,0,4.37,0,0,4.37,0,1.09,19.67,1.09,0,0,1.09,1.09,1.09,0,0,2.19,16.39,1.09,0,7.65,1.09,9.84,0,0,3.28,0,0,0,0,20.76,1.09,0
108-118,0,0,0,4.6,1.53,1.53,6.13,0.77,1.53,13.02,1.53,0,0,0.77,0.77,0.77,0,0,1.53,14.55,0,2.3,5.36,0,9.96,0,0,3.06,0,0.77,0,0,13.02,0,0
120,0,0,0,0,0,0,3.92,0,0,19.6,0,0,0,1.96,0,0,0,0,0,13.72,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0,7.84,0,1.96
