stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,5,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,2,0,3,4,13,0,0,1,0,0
 24-34,0,2.46,5.75,0,11.49,0,0,0,8.21,0.82,0,0,0,0,0,0,0.82,11.49,0,0,2.46,234.76,1.64,0.82,0,0,2.46,0,0,0,0.82,0.82,68.95,0,0,2.46,0,1.64
 36-46,0,0,2.42,0.81,32.23,0,0,0.81,33.84,0,0,0,0,0,1.61,0,0,14.5,0,0,4.03,640.51,0.81,2.42,1.61,0,0.81,1.61,0,0,0,0,138.58,0,0.81,0.81,0,3.22
 48-58,0,0,3.44,0,70.58,0,0,0.57,57.95,0,0,0,0,0.57,2.3,0,2.3,24.67,0,0,4.02,901.45,0.57,0,2.3,0.57,1.72,0,0,0,0.57,0,164.11,0,0,0.57,0,10.9
 60-70,0,0,2.94,0,160.97,0,0,0.98,99.13,0.98,0,0,0,0.98,1.96,0,1.96,27.48,0,0.98,0.98,1414.37,0,0.98,6.87,0.98,2.94,0,0,0,0,0,190.42,0,0.98,0.98,1.96,8.83
 72-82,0,0,14.72,2.94,274.87,0,0,0,95.22,0,0,1.96,0,2.94,5.89,0,3.93,55.95,0,5.89,5.89,1388.07,0.98,2.94,17.67,0,0.98,0,0,0,0,0,121.73,0,3.93,2.94,1.96,10.8
 84-94,1.06,0,8.5,3.19,209.22,0,0,1.06,53.1,1.06,0,0,2.12,3.19,2.12,2.12,11.68,25.49,1.06,6.37,5.31,674.39,0,1.06,9.56,0,8.5,0,0,0,0,0,63.72,1.06,1.06,1.06,2.12,14.87
 96-106,2.19,0,15.3,1.09,167.21,1.09,0,1.09,38.25,0,0,4.37,3.28,2.19,4.37,2.19,3.28,36.06,0,1.09,0,557.35,0,0,19.67,3.28,4.37,0,0,0,0,0,28.41,1.09,1.09,2.19,2.19,9.84
108-118,0.77,0.77,7.66,0.77,146.3,0,0.77,0,43.66,2.3,0,0,0.77,0.77,1.53,0,8.43,21.45,0,3.83,2.3,640.35,0.77,2.3,18.38,0,3.06,0,0,0,0,0,16.09,0,2.3,0.77,0,16.09
120,0,0,21.56,0,176.38,0,1.96,1.96,50.95,0,1.96,0,1.96,0,5.88,1.96,9.8,21.56,1.96,1.96,3.92,930.9,0,5.88,25.48,0,5.88,0,0,1.96,0,0,33.32,1.96,1.96,0,0,3.92
