stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,4,53,11,0,17,0,0,0,11,6,0,1,0,1,0,0,0,0,37,0,0,20,362,7,4,3,5,0,3,29,4,2,27,144,0,0,1,0,0
 24-34,0,0,0,13.95,4.1,0,70.59,0,2.46,0,7.39,0,0,2.46,0,1.64,0,0,0,0.82,45.15,1.64,0,17.24,870.11,1.64,10.67,5.75,0,0,28.73,0,0.82,0,10.67,215.89,0,0,21.34,0,0.82
 36-46,0,0,0,10.47,0.81,0,283.6,0.81,4.03,3.22,45.12,0,0,1.61,0,0,0.81,2.42,0.81,0.81,59.62,0.81,1.61,12.89,1498.54,0.81,6.45,5.64,0,1.61,26.59,0,1.61,0,0,351.27,0,0,8.06,0,0.81
 48-58,0,0,0,5.16,0.57,0,420.6,1.15,2.87,2.3,100.42,0,0.57,2.3,1.72,1.72,1.15,0.57,0,1.15,78.04,1.15,2.3,23.53,1196.96,2.87,2.87,3.44,0,0,20.66,0,0.57,0.57,0,323.63,0,0,8.61,0,1.72
 60-70,0,0,0,13.74,0,0,467.2,0.98,2.94,1.96,53.98,0.98,0,5.89,1.96,0.98,1.96,0,0,0,93.24,0,0,15.7,886.31,1.96,2.94,3.93,0,0.98,31.41,0,2.94,0.98,0,159.01,0,3.93,13.74,0.98,0.98
 72-82,0,4.91,0,18.65,6.87,0,349.47,0,3.93,10.8,60.86,3.93,0,2.94,3.93,0,1.96,0.98,0,1.96,126.63,0.98,4.91,8.83,630.23,2.94,3.93,8.83,0,0.98,31.41,0,0,0,0,65.77,2.94,0.98,11.78,1.96,0.98
 84-94,0,1.06,0,31.86,4.25,1.06,227.28,0,5.31,2.12,35.05,5.31,0,2.12,18.05,2.12,3.19,2.12,0,1.06,72.22,1.06,4.25,9.56,293.12,1.06,4.25,8.5,0,0,73.28,0,1.06,0,0,39.3,3.19,2.12,10.62,1.06,3.19
 96-106,0,5.46,0,17.49,7.65,0,145.35,0,7.65,3.28,18.58,6.56,0,1.09,12.02,3.28,1.09,3.28,1.09,2.19,51.36,2.19,3.28,7.65,228.4,2.19,4.37,10.93,0,2.19,64.48,0,0,0,0,19.67,0,1.09,14.21,5.46,0
108-118,0,0,0.77,26.81,2.3,1.53,118.72,1.53,4.6,0.77,22.21,5.36,0,0.77,13.79,5.36,3.83,2.3,0.77,0.77,37.53,1.53,2.3,2.3,238.98,0.77,3.83,9.96,0,0,43.66,0,0.77,0,0,8.43,3.06,3.83,3.06,0.77,3.06
120,1.96,0,0,29.4,5.88,0,105.83,0,9.8,1.96,23.52,5.88,0,1.96,15.68,1.96,3.92,1.96,0,0,25.48,0,0,7.84,319.45,1.96,1.96,9.8,0,0,39.2,0,0,0,0,17.64,1.96,0,1.96,1.96,0
