stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,10,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,4.1,0,0,0.82,0.82,0,0,2.46,0,0,0,1.64,0,0.82,0,0.82,41.86,0,4.1,0.82,0,0,0.82,0,0,0,0.82,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0.81,0.81,0,0.81,0,0,0.81,0,2.42,2.42,0,0,0,60.43,0,12.09,0,0,0,0.81,0.81,1.61,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,12.62,0,0,8.03,1.72,0,1.15,0,0,0.57,1.15,2.3,4.59,1.15,0,0,57.38,0,10.33,1.15,0,0,1.15,0,0,0,0,12.62,0,0,1.72,0,0
 60-70,0,0,0,2.94,0,0,54.97,0,0,24.54,8.83,0,5.89,0.98,0.98,1.96,3.93,2.94,13.74,0,0,0,128.58,0,12.76,3.93,0,0,1.96,0,0.98,0,0,17.67,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,90.31,0,0.98,38.28,43.19,0,4.91,0.98,2.94,2.94,18.65,0.98,39.27,0,0.98,0.98,171.79,0,18.65,9.82,0,0,3.93,0,2.94,0,0,9.82,0.98,0.98,7.85,0,0.98
 84-94,0,0,0,6.37,1.06,0,122.13,1.06,1.06,21.24,91.34,0,13.81,3.19,2.12,0,46.73,1.06,35.05,0,0,1.06,90.27,0,16.99,9.56,0,0,23.36,0,4.25,1.06,0,5.31,2.12,0,5.31,0,1.06
 96-106,0,1.09,0,16.39,1.09,0,146.44,2.19,1.09,36.06,158.46,1.09,20.76,6.56,0,2.19,51.36,2.19,27.32,1.09,0,0,120.21,0,29.51,16.39,0,1.09,21.86,0,5.46,0,0,3.28,3.28,0,4.37,3.28,0
108-118,0,2.3,0,13.79,0.77,0.77,138.64,0.77,0.77,26.81,176.17,0,18.38,5.36,0.77,3.83,90.38,0,16.09,2.3,0,1.53,101.87,0,22.98,6.13,0,0.77,15.32,0.77,3.06,0,0,6.13,6.13,0,1.53,2.3,0
120,0,0,0,7.84,3.92,0,50.95,3.92,0,25.48,84.27,0,13.72,0,0,5.88,37.24,0,17.64,0,1.96,0,97.99,1.96,13.72,7.84,0,0,23.52,0,5.88,0,0,5.88,1.96,0,1.96,0,0
