stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,4006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,1618.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,49.95,0,42.06,0,0,0,249.73,0,0,0,0,0,78.86,0,0,0,0,0,0,0,0,0,0,1582.49,39.43,0,0,481.05,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,78.67,0,3.15,0,179.38,0,0,0,0,0,75.53,0,0,0,0,0,0,0,0,0,0,1787.48,62.94,0,0,544.43,0,9.44,6.29,6.29,110.14,0,9.44,3.15,0,0,0,0,0
 14-21,2,0,0,28,246,69,0,132,0,3,0,15,14,4,2,0,7,0,1,1,86,0,0,57,1185,12,32,35,33,0,50,0,102,5,0,132,334,0,0,1,0,0
 24-34,0,0,1.64,10.67,48.43,4.1,0,155.14,0,2.46,0.82,26.27,9.03,1.64,0.82,0,7.39,0.82,4.93,4.93,96.04,4.1,0.82,26.27,931.67,3.28,105.89,18.06,0,0,38.58,0,0,2.46,0,11.49,169.92,0,0,4.93,0,0
 36-46,0,0,0,0.81,23.36,0,0,165.16,0,0,1.61,27.39,4.83,0,0.81,0.81,0.81,0,2.42,3.22,53.98,0.81,2.42,16.92,471.32,1.61,82.18,4.83,0,0,14.5,0,0,2.42,0,0,84.6,0,0,1.61,0,0.81
 48-58,0,0,0,1.15,17.79,0.57,0,182.47,0.57,0.57,3.44,44.18,6.31,0,0.57,0.57,2.3,0.57,2.87,6.89,83.78,2.3,4.02,16.64,241,1.15,49.92,4.59,0,0,9.18,0,0,0.57,0,0,34.43,0,0,4.59,0,1.72
 60-70,0,0,0,0,15.7,0,0,94.23,0.98,0,0.98,68.71,5.89,0,0.98,0,0.98,0.98,0.98,0,70.67,1.96,0.98,6.87,134.47,1.96,46.13,0.98,0,0.98,7.85,0,0.98,0,0.98,0,11.78,0,0,4.91,0,1.96
 72-82,0,0,1.96,0,28.47,4.91,0.98,69.7,0,0,1.96,73.62,9.82,0.98,1.96,0.98,3.93,0.98,4.91,0,101.11,1.96,2.94,17.67,153.14,0.98,67.73,4.91,0,0,9.82,0,0,0.98,0,0,7.85,3.93,2.94,5.89,1.96,0
 84-94,0,0,3.19,0,27.61,3.19,0,61.6,0,3.19,2.12,53.1,11.68,0,1.06,0,6.37,1.06,1.06,2.12,66.91,0,5.31,25.49,92.4,0,65.85,5.31,0,0,48.85,0,0,1.06,0,0,4.25,5.31,2.12,9.56,2.12,1.06
 96-106,0,0,1.09,0,38.25,5.46,0,48.09,0,5.46,2.19,36.06,6.56,0,2.19,3.28,4.37,0,6.56,4.37,69.94,4.37,2.19,10.93,92.89,0,97.26,15.3,0,0,37.16,0,0,1.09,0,0,3.28,1.09,0,4.37,2.19,0
108-118,0,0,0.77,0.77,45.19,5.36,1.53,41.36,0,6.89,2.3,49.79,3.83,0,0,2.3,0.77,0.77,1.53,3.83,63.57,2.3,0.77,20.68,106.47,0.77,62.04,6.89,0,0,30.64,0,0,1.53,0,0,0.77,2.3,0.77,6.13,0.77,0.77
120,0,0,1.96,0,45.08,11.76,0,37.24,0,1.96,5.88,31.36,1.96,0,1.96,3.92,1.96,0,0,1.96,25.48,1.96,0,17.64,92.11,0,33.32,0,0,0,23.52,0,0,1.96,0,0,5.88,0,0,7.84,0,0
