stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,0,0,0,2,13,0,0,0,2,0,1,0,0,4,0,0,1,3,12,1,1,2,0,1
 24-34,0,0,0.82,1.64,1.64,0,0.82,0,0,0,0,0.82,4.1,42.68,0,0,0.82,0.82,1.64,4.93,0,0.82,9.03,0,0,0.82,0,30.37,1.64,4.93,9.85,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0.81,3.22,4.03,0,0,0.81,0.81,0,0.81,0,0,2.42,1.61,0,0,0,20.14,0,0.81,5.64,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,2.3,1.72,5.74,0.57,0,0,0.57,0,2.87,0,0,0.57,7.46,0,0,0.57,0,10.33,0,1.72,1.72,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0.98,3.93,4.91,2.94,0,0,3.93,0,0,0,0,0,1.96,0.98,0,0.98,0,14.72,0,0.98,5.89,0,0
 72-82,0,2.94,0,0,0,0,3.93,0,0,0,2.94,42.21,8.83,8.83,0.98,0,3.93,0,6.87,0,0,0,10.8,1.96,0,0.98,0,24.54,0,2.94,3.93,0.98,0
 84-94,0,2.12,1.06,1.06,0,1.06,3.19,0,1.06,0,1.06,105.14,9.56,22.3,0,0,4.25,0,6.37,0,0,0,9.56,2.12,0,3.19,0,65.85,0,0,8.5,0,0
 96-106,0,5.46,1.09,7.65,3.28,0,10.93,0,0,3.28,2.19,140.98,10.93,20.76,0,0,2.19,0,3.28,0,1.09,1.09,22.95,5.46,1.09,5.46,0,53.55,0,2.19,7.65,0,0
108-118,0,3.83,3.83,4.6,1.53,0,2.3,0.77,0,0,1.53,176.17,16.09,14.55,0.77,0,6.13,0,5.36,0,0.77,0,21.45,0.77,0.77,3.06,0,45.19,0,0,6.89,0.77,0.77
120,0,3.92,0,1.96,0,0,1.96,0,0,0,3.92,92.11,19.6,5.88,0,1.96,1.96,0,1.96,0,0,1.96,13.72,3.92,0,0,0,27.44,0,0,9.8,0,0
