stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,2,1,0,0,0,0,0
 24-34,0,8.21,1.64,1.64,0,0,0,0.82,0,4.1,0,0,0,0,1.64,0.82,0,1.64,6.57,0,0.82,0,0,4.93,0,0.82,0,0,0.82,0
 36-46,0.81,0,0,0.81,0.81,0,0,0.81,0,2.42,0.81,0,0,0,1.61,2.42,0,0,27.39,0,0,0,0,6.45,0.81,0,0,0,0.81,0
 48-58,0,1.15,0,2.87,1.72,0,0,0,0,2.3,0,0,0,0.57,0,1.72,0,0,12.62,0,0.57,0.57,0,5.16,0,0.57,0,0,1.15,0
 60-70,0.98,5.89,0,1.96,2.94,0,1.96,0,0.98,14.72,0,0,0,0,0.98,1.96,0,0,7.85,0,1.96,0,0,6.87,0,0,0,0,3.93,0
 72-82,1.96,10.8,2.94,3.93,0,0,1.96,3.93,0,49.08,0,0,0,0,2.94,2.94,0.98,0.98,8.83,0,0,0,0.98,2.94,0,0.98,0.98,0,7.85,0
 84-94,3.19,6.37,3.19,6.37,3.19,0,1.06,0,0,57.35,0,1.06,0,0,1.06,3.19,0,1.06,7.43,0,0,0,0,8.5,0,0,0,1.06,2.12,1.06
 96-106,0,19.67,2.19,2.19,1.09,0,2.19,4.37,0,95.08,1.09,0,1.09,1.09,2.19,6.56,0,0,7.65,0,0,1.09,0,4.37,0,0,1.09,0,14.21,0
108-118,0.77,24.51,2.3,5.36,2.3,0.77,2.3,6.89,0,75.06,1.53,0,0.77,0.77,3.83,0.77,0,1.53,11.49,0,0,0,0,4.6,0,0,2.3,0,8.43,0.77
120,1.96,23.52,1.96,3.92,0,0,1.96,3.92,0,88.19,1.96,0,1.96,0,7.84,0,0,0,11.76,0,1.96,0,0,9.8,0,0,1.96,0,23.52,0
