stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5,0,1,23,2,0,0,0,0,0
 24-34,0,0,1.64,0,13.13,1.64,0,0.82,0,0,0,0,0.82,0,0,0,1.64,0,0.82,0,0.82,0,0,0.82,36.94,0,0.82,0,0,0,0,0,0.82,1.64,12.31,11.49,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,4.03,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.03,100.71,0,0.81,0,0,0,0,0,0,0,0.81,23.36,0,0,2.42,0,0
 48-58,0,0,0,0,2.87,0,0,8.03,0,0,1.15,1.15,0,0,0.57,0,1.15,0,0,0,8.61,0.57,1.15,6.89,162.39,0,1.15,0,0,0,0,0,0,0,0,24.67,0,0,4.02,0,1.15
 60-70,0,0,1.96,0,2.94,0,0,51.04,0,0.98,0.98,1.96,0,0,0,0.98,0,0,0,0.98,23.56,0,0.98,0.98,380.83,0,0,0.98,0,0.98,1.96,0,0,0,0,39.26,0,0,3.93,0,0
 72-82,0,0,1.96,0,9.82,0,0,241.49,0,0.98,0,17.67,1.96,0,2.94,0,1.96,0.98,0.98,0,31.41,0.98,0.98,3.93,482,0,0,0.98,0,1.96,1.96,0,0,0,0,30.43,0,0,10.8,0,0
 84-94,0,0,1.06,0,13.81,2.12,0,173.11,1.06,3.19,0,18.05,0,0,2.12,2.12,6.37,1.06,0,0,26.55,0,2.12,9.56,263.39,0,0,1.06,0,0,1.06,0,0,0,0,15.93,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,3.28,0,0,219.66,0,0,0,13.11,1.09,0,1.09,2.19,1.09,2.19,1.09,0,32.79,0,2.19,2.19,262.28,0,0,0,0,1.09,5.46,0,0,0,0,9.84,2.19,1.09,10.93,1.09,2.19
108-118,0,0,0,0,10.72,0,0,165.45,0,4.6,0,8.43,0,0,0.77,1.53,3.83,0.77,0.77,0,22.98,0,1.53,10.72,327.83,0,0.77,0.77,0,2.3,2.3,0,0,0,0,7.66,0.77,0,8.43,0.77,0.77
120,0,0,0,1.96,25.48,0,1.96,101.91,0,1.96,1.96,3.92,0,0,0,5.88,1.96,1.96,0,0,13.72,0,0,3.92,352.76,0,0,0,0,1.96,3.92,0,0,0,0,5.88,0,0,7.84,0,0
