stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,0,0,0,0,39.43,0,0,0,0,0,7.89,0,0,0,0,0,0,0,168.24,5.26,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,15.73,0,0,0,0,0,40.91,0,0,0,0,0,0,0,91.26,6.29,0,0,37.76,0,0,3.15,0,18.88,0,0,0,0,0,0
 14-21,0,0,0,2,14,22,0,8,0,0,0,0,0,1,8,0,1,0,4,0,6,34,1,0,1,0,0,1,0,16,0,18,17,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,0,11.49,0,0,0.82,0.82,0.82,0,10.67,0,0,0.82,2.46,0,1.64,30.37,0.82,2.46,0.82,0,0,0,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,4.83,0,0.81,0,2.42,0.81,0,22.56,0.81,0.81,0,3.22,0,1.61,36.26,0,0.81,0.81,0,0,2.42,0,0.81,0,0,4.03,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,7.46,0.57,0,0,0.57,0,0,13.2,0,0,0,2.87,0,0.57,30.99,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,13.74,0,0,0.98,0.98,0,0,25.52,0,0,0,2.94,0,0.98,56.93,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,22.58,0,0.98,0,2.94,0.98,0,13.74,0,0.98,0,6.87,0,0.98,46.14,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,8.5,0,0,2.12,3.19,0,0,27.61,0,1.06,0,3.19,0,5.31,21.24,0,0,1.06,0,1.06,3.19,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,2.19,0,3.28,0,1.09,0,1.09,0,0,41.53,1.09,0,0,6.56,0,2.19,19.67,0,3.28,0,0,0,6.56,0,0,0,0,1.09,0,0,0,0
108-118,0,0,1.53,0.77,6.13,0.77,3.06,6.13,0,0.77,1.53,3.83,2.3,0,40.6,2.3,0,1.53,3.83,0.77,2.3,23.74,0.77,0,0.77,0,0,11.49,0.77,0,0,0,0.77,0.77,3.83,0,0
120,0,0,0,0,9.8,1.96,0,9.8,0,1.96,0,0,0,0,15.68,1.96,0,0,0,1.96,5.88,27.44,0,0,0,0,0,11.76,0,0,0,0,0,0,0,1.96,0
