stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,12,827,8,0,38,0,0,0,18,7,3,1,0,5,0,0,0,2,15,2,0,31,240,118,1,3,2,0,147,1,4,8,0,30,289,0,0,0,0,0
 24-34,0,0,1.64,481.84,0.82,0,156.78,0,5.75,0.82,61.56,0,0,7.39,0,1.64,0,1.64,0.82,2.46,78.8,4.1,0,79.62,590.2,28.73,0,0,0,0,100.97,0,1.64,8.21,0.82,6.57,279.09,0,0,33.66,0,2.46
 36-46,0.81,0,0,147.44,1.61,0,142.6,6.45,9.67,8.06,116.82,0.81,1.61,8.06,0,0.81,0.81,3.22,0,0,147.44,2.42,0,24.17,824.2,9.67,4.83,3.22,0,0,39.48,0.81,0,6.45,0.81,0,268.29,0,0,24.17,0,3.22
 48-58,1.15,0,0,117.06,1.15,0,251.33,6.31,14.92,13.2,195.67,0.57,0.57,13.2,0,1.15,1.72,3.44,0.57,0,232.39,0.57,6.89,29.84,724.14,7.46,4.59,7.46,0,0,6.89,0,0,4.59,0,0,249.03,0,1.15,16.07,0,1.72
 60-70,0,0,0,107.97,0,0,319.98,6.87,13.74,15.7,282.68,1.96,0,10.8,0,2.94,0,1.96,0.98,0.98,232.62,1.96,12.76,16.69,532.97,12.76,2.94,10.8,0,0,10.8,0,0,13.74,1.96,0,142.32,0.98,9.82,6.87,2.94,0
 72-82,0,0.98,0.98,117.8,5.89,0,371.07,1.96,8.83,20.61,327.88,6.87,0,10.8,1.96,9.82,2.94,5.89,0.98,0,414.26,0.98,9.82,36.32,515.37,2.94,8.83,12.76,0,0.98,6.87,0,0,10.8,1.96,0,113.87,3.93,14.72,25.52,18.65,0.98
 84-94,2.12,1.06,0,213.47,3.19,0,334.54,1.06,16.99,22.3,232.59,10.62,1.06,6.37,2.12,14.87,0,4.25,2.12,1.06,223.03,2.12,9.56,29.74,303.74,5.31,5.31,19.12,0,1.06,32.92,0,0,10.62,2.12,0,96.65,5.31,5.31,22.3,15.93,1.06
 96-106,0,0,0,197.81,2.19,1.09,285.23,3.28,19.67,8.74,191.25,17.49,0,12.02,7.65,6.56,0,5.46,2.19,0,244.8,4.37,8.74,24.04,266.65,5.46,13.11,22.95,0,3.28,29.51,1.09,0,13.11,2.19,0,109.28,2.19,6.56,12.02,13.11,0
108-118,0,0,0.77,228.26,0,0.77,252,6.13,16.09,7.66,186.13,17.62,0,6.89,7.66,6.89,1.53,5.36,2.3,0,221.36,3.06,5.36,33.7,348.51,4.6,9.19,19.92,0,0.77,22.98,0,0,11.49,3.06,0,62.04,11.49,8.43,11.49,13.02,0
120,0,0,0,246.93,19.6,0,252.81,1.96,21.56,9.8,174.42,15.68,0,3.92,3.92,3.92,1.96,7.84,5.88,0,217.54,1.96,7.84,39.2,397.84,9.8,11.76,23.52,0,0,29.4,0,0,7.84,3.92,0,84.27,5.88,3.92,13.72,11.76,0
