stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0.82,1.64,1.64,0.82
 36-46,0,0,0,1.61,0,0,0.81,0,0.81,0,0,0,0,0,0,0,4.03,0,5.64,0,0,0,1.61,3.22,0.81
 48-58,0,0,0,0,0,0,1.72,0,0.57,1.15,0,0,0,0,1.72,1.15,4.59,0,6.31,0,0,0,1.72,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,3.93,0,0.98,0,0,0.98,0,2.94,0,3.93,0,0,0,0,2.94,0.98
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,2.94,0,5.89,0,14.72,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,3.19,1.06,0,0,1.06,0,1.06,1.06,0,0,5.31,0,5.31,0,0,0,1.06,4.25,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,3.28,0,0,0,2.19,1.09,1.09,0,0,5.46,2.19,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0.77,0.77,0,0,1.53,0,0.77,0,0,0.77,0,2.3,0,6.89,0.77,0,0,0.77,0.77,0
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,5.88,0,1.96,0,0,0,0,0,1.96
