stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0,14.78
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,0.81,0.81,0,4.03
 48-58,0,0,0,0,2.3,0,1.15,0,0,0,0,0,0,44.76,0,1.15,0,0,0,2.87,0,4.59
 60-70,0,0,0,0,3.93,0,1.96,0,0,0,0,0,0,123.67,0,0.98,0,0,0,9.82,0,6.87
 72-82,0,0,0.98,0,18.65,0,1.96,0,0,0,7.85,0,0,204.19,0,0,0,0,0.98,11.78,0.98,4.91
 84-94,0,1.06,2.12,0,10.62,1.06,3.19,2.12,0,1.06,4.25,0,0,96.65,0,2.12,0,0,0,2.12,1.06,4.25
 96-106,0,2.19,3.28,0,17.49,0,2.19,1.09,0,1.09,3.28,0,0,97.26,0,1.09,0,0,2.19,4.37,1.09,4.37
108-118,0,0,0,0,7.66,0,1.53,1.53,0,0,0.77,0,0,94.98,0,0,0,0.77,0,3.06,0,3.83
120,0,1.96,0,0,7.84,0,3.92,0,0,0,1.96,1.96,0,115.63,0,0,0,0,0,1.96,0,3.92
