stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,21.03,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,9.03,0.82,0,0,0,0,2.46,0.82,2.46,0.82,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,2.42,0,0.81,0,8.06,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0.57,0,0,0,0,0,0,0.57,2.3,0.57,0,6.31,0,0,0,0,0,1.15,0,5.74,0.57,0.57
 60-70,0,0,0,0,0,0,9.82,2.94,0,0,4.91,0.98,0,0,0,0,0,0,0.98,0,0,16.69,0,0,0,0,0.98,0.98,0,12.76,0.98,0
 72-82,0,0,0,0,0.98,0,3.93,1.96,0,0.98,3.93,0,0,0,0,0,0,0,2.94,0,0,23.56,0,0.98,0,0,0.98,0.98,0,10.8,0,0
 84-94,0,0,0,0,0,0,4.25,4.25,2.12,0,1.06,0,0,1.06,0,0,1.06,0,0,0,1.06,10.62,0,0,0,1.06,0,0,0,3.19,1.06,0
 96-106,0,0,1.09,0,0,1.09,14.21,2.19,0,0,2.19,0,0,1.09,0,0,0,0,3.28,0,3.28,31.69,0,4.37,1.09,0,1.09,2.19,0,2.19,1.09,0
108-118,0,0,0,0,0.77,0.77,11.49,1.53,0,0,11.49,0,0,0,0.77,0.77,0,0,3.83,0,4.6,27.57,0,0,0,0.77,0,5.36,0,3.06,0,0
120,0,0,0,0,3.92,0,15.68,3.92,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,45.08,0,5.88,0,1.96,0,1.96,0,1.96,0,0
