stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,8,13,0,5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,40,0,1,0,0,0,0,0,1,0,1,11,0,1,0
 24-34,0,0,1.64,0,1.64,1.64,0,13.13,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0,4.1,97.68,0,0.82,0,0,0,0.82,0,0,6.57,0.82,28.73,0,0,0.82
 36-46,0,0,3.22,0,2.42,0.81,0,54.79,0,0,1.61,0,0,0,0,0,0,0,0,0,6.45,0,0,3.22,99.1,0,3.22,0,0,0,3.22,0,0,5.64,0,17.72,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,37.3,1.72,1.72,6.31,0,0,0.57,0,0,0.57,0,0,0,10.9,0,0,4.02,72.3,0,1.72,0,0,0,1.15,0,0,2.3,0,9.75,0,1.15,0.57
 60-70,0,0,0.98,0,1.96,0,0,45.15,1.96,0,8.83,0,0,0,0,0,0,0,0.98,0,7.85,0,0,2.94,53,0,0,0,0,0,1.96,0,0,2.94,0,6.87,0,0.98,0
 72-82,0,0,1.96,0,0.98,0,0,32.39,0,2.94,4.91,0,0,0.98,0,0,0,0,2.94,0,11.78,0,0,2.94,87.37,0,1.96,0,0,0.98,0,0,0,8.83,0,8.83,0,1.96,1.96
 84-94,0,0,2.12,0,2.12,0,1.06,15.93,1.06,0,13.81,1.06,1.06,0,0,0,0,0,2.12,0,14.87,0,1.06,0,43.54,2.12,0,1.06,0,0,4.25,0,0,33.99,0,2.12,0,2.12,0
 96-106,0,0,3.28,0,3.28,0,0,10.93,0,1.09,10.93,1.09,0,0,0,0,0,1.09,0,0,12.02,0,1.09,1.09,31.69,0,2.19,1.09,0,0,3.28,0,0,31.69,0,0,1.09,1.09,1.09
108-118,0,0,1.53,0,3.06,0.77,2.3,8.43,0,0,3.83,0.77,0,0,1.53,0.77,0.77,0,6.89,0.77,9.19,0.77,0,3.06,39.06,1.53,0.77,0.77,0,0,4.6,0,0,40.6,0,1.53,0,3.06,0
120,0,0,5.88,0,1.96,0,0,9.8,0,0,11.76,1.96,0,0,0,0,0,1.96,3.92,0,9.8,0,0,3.92,37.24,1.96,0,0,0,0,3.92,0,0,37.24,0,1.96,0,1.96,0
