stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,11,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,1,2,0,0,5,0
 24-34,0,0,0,1.64,8.21,1.64,2.46,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0,4.1,6.57,0,2.46,0,0,3.28,0,0,4.1,0,0,32.83,0
 36-46,0,0,0,0,5.64,0,0.81,1.61,0,0,2.42,0,0,0,0,3.22,0.81,0,0,2.42,4.83,0,4.83,0,0,3.22,0,0,0.81,0,0,31.42,0
 48-58,0,0,0,0,5.16,0,0.57,1.72,0.57,0.57,2.3,0,0,1.15,0.57,5.74,0,0,0,4.02,5.16,0,4.59,0,0,1.72,0,0,2.3,0,0,17.79,0
 60-70,0,0,0,0,15.7,0.98,4.91,7.85,3.93,0,7.85,0,0,0.98,0,29.45,0,0,0,2.94,3.93,0,8.83,0,4.91,3.93,0,0,0.98,0,0,31.41,0
 72-82,0,0,0,0,5.89,0,0.98,1.96,6.87,1.96,5.89,0,0,0,0,20.61,0,0,0.98,7.85,1.96,0,7.85,0,0,1.96,0,0,3.93,0.98,0,38.28,0
 84-94,0,0,0,0,15.93,0,3.19,4.25,1.06,3.19,5.31,0,0,0,0,12.74,0,2.12,0,4.25,1.06,2.12,12.74,0,1.06,8.5,0,0,1.06,1.06,1.06,38.23,0
 96-106,0,0,1.09,0,16.39,0,2.19,6.56,1.09,6.56,4.37,1.09,0,1.09,1.09,16.39,0,1.09,1.09,5.46,2.19,3.28,14.21,0,2.19,15.3,0,0,1.09,0,0,32.79,0
108-118,0,0,0,0,17.62,0,3.06,4.6,1.53,6.89,1.53,0.77,0,1.53,0,20.68,0.77,0.77,0.77,5.36,2.3,0,15.32,0,4.6,5.36,0,0,0,3.06,0.77,27.57,0.77
120,0,0,0,0,21.56,0,3.92,3.92,1.96,5.88,7.84,1.96,1.96,0,0,13.72,1.96,3.92,0,1.96,3.92,0,11.76,0,7.84,5.88,0,0,3.92,0,1.96,21.56,0
