stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,103.85,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,4,20,135,0,1,0,0,1,1,4,0,0,9,74,0,0,6,0,0
 24-34,0,0,0,2.46,1.64,0,19.7,0,1.64,11.49,6.57,0,0,0.82,0.82,0,0,0,0.82,1.64,10.67,0,16.42,298.79,18.88,0.82,0,0,0,2.46,0,0,3.28,3.28,9.85,111.64,0,0,21.34,0,4.1
 36-46,0,0,0,0.81,0,0,35.45,1.61,1.61,32.23,43.51,0,0,0.81,0,0,0,0,0,7.25,27.39,0.81,23.36,962.77,20.95,0.81,0,0,0,0,0,0,1.61,0,0,204.64,0,0,27.39,0,8.86
 48-58,0,0,0,7.46,0,0,319.61,2.87,0.57,37.3,78.04,0,0.57,0,1.15,0,0,1.15,0,2.3,25.25,1.15,13.2,1518.29,5.16,1.15,1.15,0,0,0.57,0,0,2.3,2.3,0,255.92,0,0.57,13.2,0,10.9
 60-70,0,0,0,0.98,0,0,859.81,7.85,1.96,33.37,204.16,0.98,0,0.98,5.89,0,0.98,0,0.98,2.94,83.43,0.98,8.83,2188.79,8.83,6.87,2.94,0,1.96,1.96,0,0,1.96,0,0,242.44,0,1.96,15.7,0,7.85
 72-82,0,0,1.96,15.71,2.94,0,783.37,1.96,0,39.27,293.52,1.96,0,0,13.74,0,0,0,2.94,4.91,102.09,3.93,15.71,1724.78,2.94,3.93,1.96,0,5.89,1.96,0,0,4.91,1.96,0,103.07,0,7.85,32.39,4.91,7.85
 84-94,0,0,1.06,13.81,1.06,1.06,467.3,4.25,1.06,36.11,203.91,2.12,0,0,20.18,0,1.06,1.06,1.06,4.25,53.1,6.37,10.62,882.55,4.25,2.12,8.5,0,3.19,2.12,0,0,1.06,0,0,90.27,1.06,4.25,23.36,10.62,9.56
 96-106,0,0,1.09,9.84,4.37,0,295.07,5.46,0,26.23,191.25,1.09,0,1.09,18.58,0,1.09,1.09,1.09,2.19,65.57,8.74,5.46,689.59,5.46,1.09,4.37,0,8.74,8.74,0,0,1.09,0,0,46.99,1.09,5.46,27.32,9.84,14.21
108-118,0,0,0.77,8.43,0.77,0,238.21,3.06,2.3,19.92,126.38,0,0,0.77,16.09,0.77,1.53,0,1.53,1.53,55.92,3.83,9.96,759.84,4.6,2.3,4.6,0,3.06,0.77,0,0,0.77,2.3,0,28.34,0.77,0.77,20.68,8.43,9.96
120,0,0,0,25.48,0,0,229.29,0,0,15.68,129.35,1.96,0,0,13.72,1.96,3.92,0,0,0,43.12,1.96,5.88,795.67,1.96,0,9.8,0,1.96,5.88,1.96,0,3.92,0,0,31.36,0,1.96,23.52,3.92,0
