stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,1.64,1.64,0,0,0,0.82,0.82,1.64,0,6.57,0,0.82,13.13,0,0,12.31,0,0,0,0,0,0,0,2.46,0,9.03,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,15.31,0,0.81,8.06,0,0,0,0,0.81,0,0.81,3.22,0,3.22,0
 48-58,0,0,0,0,1.72,0,5.16,0.57,0,0.57,0.57,0,0,2.3,0,1.72,14.92,0,0,6.89,0,0,0,0,1.15,0,1.15,2.3,0,2.3,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0.98,1.96,1.96,0,0,0,0,3.93,12.76,0,0,8.83,0,0,0,0,0,0,2.94,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,3.93,0,0.98,5.89,0.98,0.98,0.98,0.98,0,12.76,18.65,0,0.98,7.85,0,0,0,0,1.96,0,0.98,0,0,5.89,0
 84-94,0,0,1.06,0,4.25,0,2.12,0,1.06,19.12,1.06,0,0,4.25,0,9.56,22.3,0,0,4.25,0,0,0,0,3.19,1.06,2.12,1.06,0,2.12,0
 96-106,0,0,0,0,5.46,1.09,3.28,1.09,0,37.16,0,2.19,0,2.19,0,8.74,21.86,0,0,8.74,0,0,1.09,0,5.46,0,1.09,0,0,4.37,0
108-118,0,0,0,0,8.43,0.77,4.6,0,1.53,32.94,0,0,0,2.3,0,5.36,16.85,0.77,1.53,3.83,0.77,0,0,0,3.83,0,6.13,0,0.77,1.53,0
120,0,0,0,0,9.8,1.96,0,0,0,21.56,0,0,0,0,1.96,9.8,11.76,0,0,1.96,1.96,1.96,0,0,5.88,0,3.92,0,1.96,0,0
