stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1989.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1035.91,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,34.17,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.73,3.15,0,0,28.32,0,9.44,3.15,0,40.91,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,111,253,0,2,2,0,116,6,0,6,0,16,0,0,0,15,2,0,2,91,6,14,57,15,0,14,1,4,141,1,4,343,0,0,99,0,0
 24-34,0,0,0.82,4.93,40.22,27.91,0,3.28,2.46,0.82,126.41,3.28,0,11.49,0,32.01,9.03,2.46,0.82,8.21,1.64,0,0.82,88.65,1.64,63.21,21.34,0,0,39.4,0,0,94.4,0,3.28,229.84,0,0,351.33,0,0.82
 36-46,0,0,0,0.81,9.67,4.83,0,14.5,0,0.81,92.65,6.45,0,6.45,0,6.45,9.67,0.81,0.81,2.42,1.61,0,1.61,72.51,0.81,63.65,13.7,0,0,37.06,0,0,42.7,0.81,0,140.19,0,0,213.5,0,0.81
 48-58,0,0,0,0,10.33,1.72,0,18.94,1.15,0.57,80.91,4.59,0,5.74,0.57,2.3,12.62,0.57,0,6.31,0.57,0,1.72,57.95,0.57,48.77,18.36,0,0,21.23,0,0,20.66,0,0,140.01,0,0,187.06,0,0.57
 60-70,0,0,0,0,10.8,0.98,0,9.82,0.98,0.98,73.61,4.91,0,8.83,0.98,0,16.69,0.98,0,2.94,0,0,0.98,50.06,0,53,20.61,0,0.98,14.72,0,0,13.74,0,0,71.65,0.98,0,141.34,0,0
 72-82,0,0,12.76,0,21.6,0.98,0,18.65,0.98,0,83.44,10.8,2.94,21.6,1.96,3.93,28.47,0,0,4.91,1.96,0,0,43.19,0,96.2,42.21,0,0,7.85,0,0,12.76,0,0,55.95,0.98,0.98,334.75,0.98,0.98
 84-94,0,0,6.37,2.12,39.3,1.06,1.06,20.18,3.19,1.06,62.66,13.81,0,6.37,2.12,12.74,49.92,0,0,11.68,0,0,1.06,30.8,1.06,125.32,57.35,0,0,37.17,0,0,30.8,0,0,42.48,1.06,1.06,307.99,0,0
 96-106,0,0,6.56,6.56,56.83,3.28,0,21.86,2.19,0,67.76,19.67,0,25.14,3.28,12.02,67.76,2.19,2.19,14.21,1.09,0,0,46.99,0,180.32,65.57,0,1.09,30.6,0,0,20.76,0,0,41.53,4.37,1.09,415.28,1.09,0
108-118,0.77,0,5.36,4.6,29.11,0.77,0,16.09,4.6,0.77,52.85,10.72,0,11.49,2.3,6.89,38.3,3.06,0,6.89,0,0.77,1.53,26.04,0.77,124.85,46.72,0,0,18.38,0,0,19.92,0,0,27.57,6.89,0,280.34,1.53,0
120,0,0,1.96,0,29.4,0,0,7.84,5.88,0,37.24,15.68,0,11.76,3.92,7.84,31.36,0,0,1.96,0,0,0,11.76,0,64.67,43.12,0,0,13.72,0,0,11.76,0,0,17.64,1.96,0,244.97,0,0
