stage,epidermis,exocrine_pancreas,eye,fast_muscle,glial,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,8,0,0,0,3,1,0,25,0,0,0,0,0,7,7,0,0
 24-34,0.82,0,36.12,0,0.82,0,32.01,0.82,0,19.7,0.82,5.75,4.93,0,0.82,1.64,4.1,0,0
 36-46,2.42,0,23.36,0,0,0,15.31,1.61,0,5.64,0.81,0,5.64,0,0,0,1.61,0,0
 48-58,0,0,20.08,0,0.57,1.15,17.21,2.87,1.72,6.31,1.15,0,16.64,0.57,0,0,1.15,0,0
 60-70,0.98,0,13.74,0,4.91,6.87,12.76,4.91,0,6.87,0,0,15.7,0.98,0,0,0,0,0
 72-82,1.96,0,9.82,0,5.89,9.82,8.83,6.87,0,9.82,0,0,26.5,0,0,0,0,0,0
 84-94,3.19,1.06,12.74,0,0,5.31,13.81,2.12,3.19,5.31,1.06,0,35.05,0,0,0,0,0,0
 96-106,2.19,1.09,1.09,1.09,3.28,0,10.93,1.09,2.19,8.74,0,0,44.81,1.09,0,0,0,0,0
108-118,0.77,1.53,6.13,0,0.77,0.77,15.32,0.77,0,5.36,0,0,32.94,0,0,0,0,0.77,0.77
120,0,0,3.92,0,0,0,5.88,7.84,0,0,0,0,37.24,0,0,0,0,0,0
