stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,478.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,105,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,5.75,0,0,2.46,0,2.46,43.51,7.39,0,28.73,0,0,0,0,0,0,0,15.6,0,0,0,0,0
 36-46,0,0,3.22,0,1.61,0,0,3.22,0,0,0.81,0,0,0,0,0,2.42,0,0.81,4.83,0.81,1.61,74.12,7.25,0,33.03,0,0,0,0,0,0.81,0,37.87,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,0,24.67,0.57,0,0.57,2.3,0,1.15,1.72,0,0,0,0.57,7.46,0,1.72,92.38,2.3,0,18.36,0,0,0,0,0,0,0,20.08,0,0,3.44,0.57,0.57
 60-70,0,0,3.93,0,0.98,0,0,273.84,0,0,2.94,13.74,1.96,0.98,6.87,0.98,0.98,0.98,1.96,43.19,2.94,0,189.43,0.98,0.98,19.63,0,0,0,0,0,0.98,0,30.43,0,0,3.93,4.91,0
 72-82,0,0,9.82,0,5.89,0.98,0,668.51,0,1.96,1.96,36.32,7.85,0,8.83,0,0,0,0,119.76,0,0.98,277.81,0,0,42.21,0,0,0,0,0,0.98,0,18.65,0,2.94,16.69,13.74,0.98
 84-94,0,0,4.25,0,3.19,1.06,0,467.3,0,1.06,1.06,21.24,20.18,2.12,12.74,3.19,0,3.19,6.37,77.53,1.06,1.06,154,1.06,1.06,48.85,0,1.06,1.06,0,0,0,0,7.43,0,1.06,14.87,20.18,0
 96-106,0,0,5.46,0,9.84,3.28,0,441.51,0,1.09,1.09,29.51,27.32,3.28,17.49,0,0,2.19,0,87.43,0,0,137.7,0,0,59.01,0,1.09,6.56,0,0,3.28,1.09,6.56,2.19,2.19,13.11,21.86,0
108-118,0,0,3.06,0.77,7.66,0.77,0.77,291.07,0,0,1.53,30.64,27.57,0.77,6.13,1.53,2.3,2.3,6.13,55.15,1.53,2.3,143.24,5.36,1.53,43.66,0,0,2.3,0,0,0,0,4.6,0.77,2.3,18.38,12.26,1.53
120,0,0,3.92,0,11.76,3.92,0,227.34,0,1.96,3.92,39.2,37.24,1.96,9.8,0,0,0,0,64.67,0,5.88,201.86,1.96,0,35.28,0,0,0,1.96,0,0,0,7.84,0,3.92,7.84,5.88,0
