stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,7,41,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,10,1,0,1,0,0,0,1,0,2,13,0,0,83,0,0
 24-34,0,0,1.64,4.93,14.78,0,2.46,0,0,0,5.75,0,0,5.75,0,1.64,0.82,0,0,4.93,0,0,3.28,64.03,0.82,1.64,0,0,0,2.46,0,0.82,0.82,12.31,0,0,415.35,0,0.82
 36-46,0,0,0,4.03,3.22,0,10.47,0,0,0,2.42,0,0,1.61,0,0,0,0,1.61,6.45,0,0,4.03,51.56,0.81,1.61,0,0,0,0.81,0,0,0,13.7,0,0,302.93,0,0
 48-58,0,0,0,1.72,1.15,0,16.64,1.15,0,0,4.02,0,0,1.72,0,0,0.57,1.15,0,12.62,0.57,2.3,2.87,49.35,0,1.72,0.57,0,0,1.15,0,0,0,11.48,0,0,243.87,0,0.57
 60-70,0,0,0,0,3.93,0,24.54,0,0,0,2.94,0,0,2.94,2.94,1.96,0,0,0,15.7,0,4.91,4.91,25.52,0,1.96,0,0,0.98,0,0,0.98,0,6.87,0,0,231.64,1.96,0
 72-82,0,0,0,0.98,3.93,0,17.67,0,0,0,5.89,1.96,0,1.96,3.93,0,0,0,0,41.23,0,0.98,3.93,19.63,0,2.94,0.98,0,0,0,0,0,0,4.91,0,1.96,373.03,5.89,0.98
 84-94,0,0,0,1.06,1.06,0,15.93,1.06,1.06,0,2.12,1.06,0,0,4.25,1.06,0,0,0,29.74,0,4.25,4.25,15.93,0,2.12,0,0,0,4.25,0,1.06,0,0,0,2.12,362.15,3.19,0
 96-106,0,0,0,6.56,9.84,0,14.21,3.28,1.09,2.19,13.11,4.37,0,4.37,9.84,0,1.09,2.19,0,50.27,1.09,1.09,4.37,21.86,1.09,5.46,2.19,0,2.19,4.37,0,2.19,0,2.19,0,1.09,419.65,9.84,0
108-118,0.77,0,0,6.13,1.53,1.53,17.62,0,1.53,1.53,4.6,0.77,0,0.77,8.43,0.77,0,2.3,0,60.51,0,0.77,3.83,30.64,0,0,1.53,0,1.53,1.53,0,2.3,0,1.53,0.77,1.53,338.56,4.6,0
120,0,0,0,5.88,1.96,1.96,7.84,1.96,0,0,0,0,0,0,5.88,0,0,0,0,62.71,0,1.96,3.92,19.6,0,3.92,1.96,0,0,9.8,0,0,0,1.96,1.96,1.96,411.55,0,0
