stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,1,0,0,0,0,0,0,3,0,0,0,1,20,0,0,8,16,0,1,0,1,0,13,1,15,1,11,48,3,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,0.82,0.82,2.46,0,0.82,0.82,0,4.1,0,0,0.82,0.82,11.49,0,0,12.31,23.8,0,4.93,0.82,0,0,2.46,0,0,2.46,7.39,9.03,4.93,0,0,0,0,0
 36-46,0,0,0,6.45,0,0,4.03,1.61,3.22,0,1.61,0,0,3.22,0,0,0.81,0,0.81,2.42,0,4.83,40.28,0,4.83,0,0,0,2.42,0,0,0,3.22,0.81,5.64,0,0,0,0,0
 48-58,0,0,0,20.66,0,0,2.3,2.3,5.74,0.57,2.3,0,0.57,0,0,0,0,0.57,2.87,4.02,0,3.44,47.63,0,9.18,0,0,0,1.15,0,0,0,2.3,0.57,5.74,0,0,0.57,0,0
 60-70,0,0,0,17.67,0,0,22.58,2.94,6.87,1.96,0.98,0,0,0,0,0,0,0.98,5.89,2.94,0,0.98,53.98,0,3.93,0,0,0,7.85,0,0,0,10.8,0,3.93,0.98,0,0,0,0
 72-82,0,0,0,36.32,0,0,45.16,1.96,6.87,2.94,0.98,0,0,0,0,0.98,0,0,14.72,6.87,0,2.94,93.26,0,14.72,0,0,0,32.39,0,0,0,0.98,0,2.94,0,0,0,1.96,0.98
 84-94,0,0,0,59.47,1.06,0,21.24,1.06,10.62,0,2.12,0,1.06,1.06,0,1.06,0,0,2.12,5.31,0,3.19,38.23,0,9.56,0,0,0,75.4,0,0,0,1.06,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,67.76,1.09,0,22.95,8.74,7.65,2.19,1.09,1.09,0,1.09,1.09,3.28,1.09,0,8.74,4.37,2.19,2.19,34.97,0,9.84,0,0,1.09,177.04,0,0,0,5.46,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,61.28,2.3,0.77,18.38,4.6,20.68,1.53,2.3,1.53,0,0.77,0,3.06,0,1.53,6.13,3.06,3.06,3.83,46.72,0,6.89,0,0,0,124.85,0,0,0,5.36,0,1.53,1.53,1.53,0,0,0
120,0,0,0,80.35,0,0,23.52,1.96,33.32,1.96,1.96,0,0,0,1.96,0,0,1.96,1.96,7.84,0,3.92,58.79,0,3.92,0,0,0,84.27,0,0,0,5.88,0,7.84,0,0,0,0,0
