stage,axial,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,18.88,0,0,0,0,0,0,0
 14-21,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10,0,1,11,0,424,3,1,4,0,0,0,0
 24-34,0,2.46,18.06,0,1.64,0,0,0,1.64,0,0,0,0,0.82,3.28,0,0,0,2.46,0.82,25.45,0,7.39,6.57,0,256.93,6.57,0.82,4.1,0,0,1.64,2.46
 36-46,0,0.81,12.89,0,2.42,0,0.81,0,1.61,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,22.56,0,2.42,9.67,0,155.49,0.81,0,4.03,0,0,0.81,0
 48-58,0,0.57,10.33,0,3.44,0.57,0,0,1.15,0.57,0,0,0.57,0.57,0,0,0,1.15,0,0.57,16.07,0,2.87,6.31,0,74.02,0.57,0,5.16,0,0,0,0.57
 60-70,0,0,19.63,0,3.93,0,0.98,0,0.98,2.94,0,0,1.96,1.96,0,1.96,0,3.93,0.98,0,23.56,0,0,8.83,0,35.33,0,0,2.94,0.98,0,0,0
 72-82,0,0,16.69,0,6.87,0,0,0,1.96,1.96,0,0,0,4.91,0,2.94,0,5.89,0,0.98,18.65,1.96,0,3.93,0,42.21,0,0,1.96,1.96,0,0.98,0
 84-94,0,0,46.73,0,3.19,0,4.25,0,2.12,6.37,0,0,1.06,5.31,0,6.37,1.06,6.37,0,1.06,14.87,0,2.12,6.37,0,118.95,0,0,1.06,38.23,1.06,0,0
 96-106,0,0,59.01,2.19,5.46,1.09,3.28,1.09,1.09,8.74,0,1.09,3.28,5.46,2.19,7.65,1.09,3.28,0,1.09,10.93,0,8.74,8.74,0,81.96,0,0,0,34.97,0,1.09,0
108-118,0,0,54.38,0,3.06,0,0.77,0,1.53,19.15,0,0,1.53,13.02,0,35.23,0,4.6,1.53,0,15.32,0,6.13,4.6,0,75.06,2.3,0,0,37.53,0,0.77,0
120,0,0,15.68,0,1.96,0,0,0,1.96,7.84,0,0,0,5.88,1.96,3.92,0,1.96,0,0,7.84,1.96,0,9.8,0,56.83,0,0,0,9.8,0,1.96,0
