stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,41,0,0,0,1,0,0,4,0,0,1,6,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,2.46,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0.82,238.87,0.82,0,3.28,0,0,0,0,0.82,0,0,13.95,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,4.03,0,0,0,11.28,0,0,0,0,0,1.61,0,0.81,0,12.89,0,0,447.95,0,0.81,0,0,0,0.81,0,1.61,0,0,37.06,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,41.31,0.57,0,0,39.02,0,0,0.57,0,0,1.15,0,0,0,49.35,1.15,4.02,825.13,0,0.57,0.57,0,0.57,0.57,0,0,0,0,167.55,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0.98,0,152.14,0.98,0.98,0,48.09,0,0,0.98,0,0,0,0,0.98,0,94.23,0,0.98,1277.94,0.98,0,1.96,0,0,0.98,0,0,0,0,219.86,0,0,0,0,0.98
 72-82,0,0,0,6.87,0,0,262.1,0,0,2.94,82.46,0,0,0,0.98,0,0.98,0,0.98,0.98,126.63,0.98,2.94,1271.25,0,0,1.96,0,0,2.94,0,0,0,0,103.07,0.98,0,3.93,2.94,0
 84-94,0,3.19,0,13.81,0,0,197.54,0,1.06,2.12,45.67,0,0,0,1.06,0,2.12,1.06,1.06,0,75.4,0,2.12,713.69,1.06,0,1.06,0,0,3.19,0,0,1.06,0,77.53,1.06,1.06,4.25,3.19,0
 96-106,0,0,0,7.65,0,1.09,177.04,1.09,0,0,42.62,1.09,0,1.09,2.19,0,2.19,0,1.09,0,65.57,1.09,0,544.24,0,0,0,0,0,3.28,0,1.09,0,0,20.76,1.09,2.19,3.28,5.46,0
108-118,0,0,0,7.66,0.77,0,97.28,0,0,0.77,32.94,1.53,0,0,0,0,5.36,0,0,0,68.17,0.77,2.3,544.6,0,0,0,0,0,0.77,0,0,0,0,26.04,0,0.77,3.83,0.77,0
120,0,0,0,5.88,0,0,117.59,0,0,1.96,41.16,0,0,0,0,1.96,0,0,0,0,66.63,0,1.96,603.61,0,1.96,1.96,0,0,3.92,0,1.96,0,0,21.56,0,0,1.96,0,0
