stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,8,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,49.25,0,0,0,0,0,0,0,45.97,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,121.66,0.81,0,0,0,0.81,0,0,63.65,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,6.89,0,3.44,0,0,0,0,0,0,0.57,0,0,0,0,155.5,0.57,0,0,0.57,0,0,0,84.35,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,31.41,0,0.98,0,0,0,0,0,0.98,0,0,2.94,0.98,0,303.29,0.98,0,0,0,0,0,0,107.97,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,99.15,0.98,6.87,0,0,0,0.98,0,0,0.98,0,5.89,0.98,0,294.5,1.96,0,0,0,0,0,0,42.21,0,0.98,1.96,0.98,0
 84-94,0,0,3.19,1.06,0,64.78,0,6.37,0,0,0,0,1.06,0,0,0,6.37,1.06,0,159.31,0,0,0,0,1.06,0,0,30.8,0,3.19,0,2.12,1.06
 96-106,0,0,0,1.09,1.09,55.74,1.09,4.37,1.09,0,1.09,0,0,1.09,0,1.09,6.56,1.09,0,147.53,0,1.09,0,1.09,2.19,0,0,13.11,1.09,1.09,0,2.19,1.09
108-118,0,0,0,1.53,0,38.3,0,1.53,0.77,0,0,0,0,0.77,0,0.77,3.06,0.77,1.53,158.55,0.77,0,0,0,0,0,0.77,3.83,0,0,0,1.53,0.77
120,0,0,0,0,0,43.12,0,0,0,0,0,0,0,0,0,0,3.92,0,0,107.79,0,0,0,0,0,0,0,5.88,0,1.96,0,1.96,0
