stage,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.89,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,0,54.97,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,250.64,1.06,0,8.5,0,0,0,0,0,0
 96-106,0,0,5.46,1.09,1.09,1.09,1.09,433.86,5.46,2.19,40.44,0,0,1.09,0,0,3.28
108-118,0.77,0.77,3.83,0,0,0,0,785.88,1.53,0,35.23,0,0.77,2.3,0.77,0.77,0.77
120,0,0,0,0,0,0,0,366.48,0,0,19.6,0,0,0,0,0,0
