stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,167,0,1,0,0,0,1,0,0,0,1,0,12,0,0,1,0,0,1,32,0,0,51,0,13,0,1,19,0,0,0,0
 24-34,0,0.82,28.73,0,0,0,0,0,0.82,0,0,0,0,0,74.7,1.64,0,0.82,0,0.82,1.64,141.19,0,0,66.49,0,0.82,0.82,0,67.31,0,0,0,0
 36-46,0,0,5.64,0,16.11,0,0,0,0.81,0,0,0,0,0,43.51,0,0.81,1.61,0,0,0.81,212.7,0,0.81,37.06,0,0.81,0,0.81,97.49,0,0.81,0,0
 48-58,0,0,10.33,0,47.63,0,0,0.57,4.59,0,0.57,0.57,0,0,43.61,0.57,0.57,6.31,0,0,2.3,379.29,0,0,45.9,0,3.44,0,0,153.78,0,0.57,0,1.15
 60-70,0,0,0,0,40.24,0,0,0,5.89,0,0,0,0,0,28.46,0,0,3.93,0.98,0,0.98,353.35,0,0,45.15,0,2.94,0,0,87.36,0,0.98,0,0
 72-82,0,0,9.82,0,61.84,0,1.96,0.98,5.89,0,0,0,0,0,46.14,0,0,15.71,0,0.98,0.98,296.46,0,0,69.7,0,0.98,0,0,41.23,0,0,0,0.98
 84-94,0,0,7.43,1.06,43.54,0,2.12,0,7.43,0,0,0,0,1.06,42.48,1.06,0,10.62,0,1.06,2.12,212.41,0,0,78.59,0,3.19,0,0,29.74,1.06,0,1.06,0
 96-106,0,0,16.39,1.09,49.18,1.09,1.09,0,13.11,1.09,0,2.19,0,1.09,60.11,0,0,10.93,2.19,0,0,185.78,0,1.09,101.63,0,5.46,0,0,14.21,0,0,0,0
108-118,0,0.77,6.13,1.53,37.53,0,0,0,8.43,0,0,0,0.77,0,33.7,0.77,0,4.6,0,0,0,187.66,0,0,84.26,0,1.53,0,0,13.02,0.77,0,0,0
120,0,0,7.84,1.96,39.2,0,1.96,1.96,13.72,3.92,0,0,0,0,17.64,0,0,15.68,0,0,0,199.9,1.96,0,74.47,1.96,5.88,0,0,7.84,0,0,0,0
