stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,1423.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,42.91,490.37,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,44.69,10.51,0,0,31.54,0,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,2,0,9,1,3,0,0,0,0,1,0,0,4,0,0,9,0,0,0,1,0,10,0,3,0,2,2,0,1,0
 24-34,0,0,0,0,2.46,0.82,0.82,0,0,0,0,6.57,0,0,3.28,0,0.82,6.57,0,0,0,0,0,7.39,0,0,0.82,0.82,0,0,4.93,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,22.56,0,0,0.81,0,0,3.22,0,0.81,0,0,0,2.42,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0.57,1.15,1.15,0,0,0.57,0,0,25.25,0,0,0.57,0,0,2.3,0,0,0,0,0,1.15,0,0,0,0,0.57,0,3.44,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,22.58,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0.98
 72-82,0,0,0,0,0,4.91,0,0.98,5.89,0,0.98,41.23,0,0,3.93,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0.98,0.98,6.87,0.98
 84-94,0,0,0,0,0,3.19,0,1.06,2.12,0,1.06,73.28,1.06,0,4.25,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0
 96-106,0,0,0,0,0,3.28,1.09,0,2.19,0,0,75.41,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0,0,0,0,1.09,0,5.46,1.09
108-118,0,0,0,0,0,5.36,0,0,3.83,0,0,61.28,0,0,2.3,0.77,0,3.83,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,6.89,0.77
120,0,0,0,0,1.96,5.88,0,0,3.92,0,0,94.07,0,1.96,0,0,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,0,15.68,0
