stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,10,1,0,3,0,0,1,1,0,0,0,3,0,0,0,0,2,1,0,2,43,1,0,12,0,2,0,21,0,3,9,0,0,0,0
 24-34,0,1.64,0,26.27,0,0,3.28,2.46,0,0,2.46,0,0,0.82,13.95,0,4.1,1.64,0,5.75,5.75,0,2.46,202.75,0,5.75,16.42,0,21.34,0,26.27,0,0,27.91,0,0,0,0
 36-46,0,0,0,9.67,0,0,1.61,0.81,0,3.22,2.42,0,0.81,0,4.83,0,8.06,0,0,4.83,2.42,0,1.61,196.58,0.81,4.83,12.09,0,11.28,0,9.67,0.81,0,24.17,0,0,0,0
 48-58,0,0,0,10.9,0,0,2.3,1.15,0,4.02,0,0.57,0,0,2.3,0,4.59,0.57,0.57,6.31,5.16,0.57,0.57,117.63,0,12.62,17.21,0,10.33,0,11.48,0,0,12.62,0,0,0.57,1.72
 60-70,0,1.96,0,7.85,0,0,1.96,0,0,5.89,11.78,0.98,0,0.98,1.96,0,18.65,0.98,0,10.8,4.91,0,0.98,62.82,0,10.8,25.52,0,6.87,0,14.72,0,0,9.82,3.93,0,0,2.94
 72-82,0,21.6,0,12.76,0,0,12.76,0.98,0,8.83,42.21,0,0.98,0,3.93,0.98,39.27,0,0,11.78,6.87,0.98,4.91,94.24,0,32.39,53.99,0,6.87,0,26.5,0,0,2.94,33.38,0,0.98,2.94
 84-94,0,19.12,0,16.99,1.06,0,13.81,2.12,1.06,4.25,95.58,0,0,1.06,3.19,0,67.97,5.31,0,8.5,8.5,1.06,0,72.22,0,44.61,77.53,0,15.93,0,62.66,0,0,2.12,138.06,0,0,1.06
 96-106,0,26.23,0,48.09,3.28,1.09,16.39,0,0,16.39,165.02,0,0,3.28,5.46,0,109.28,4.37,2.19,16.39,2.19,1.09,0,88.52,0,83.06,98.36,0,27.32,1.09,71.04,0,0,2.19,234.96,0,3.28,2.19
108-118,0,18.38,3.06,26.04,3.06,0.77,14.55,3.83,0,8.43,175.41,0,0,0.77,3.83,0,85.02,0.77,0.77,9.19,5.36,1.53,2.3,58.21,0,62.04,60.51,0,21.45,0,48.26,0,0,1.53,245.11,0.77,0.77,1.53
120,0,9.8,1.96,15.68,3.92,0,7.84,1.96,0,7.84,96.03,0,0,0,0,0,47.03,3.92,0,9.8,3.92,0,0,41.16,1.96,39.2,50.95,0,7.84,0,29.4,0,0,1.96,96.03,0,0,0
