stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,12,6,44,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,22,0,0,21,487,1,18,0,0,2,1,3,0,0,5,399,0,0,0,0,0
 24-34,13.13,0,24.63,1.64,0,46.79,0,1.64,0,10.67,0,0,4.1,1.64,1.64,0.82,0.82,1.64,9.03,28.73,0,0,25.45,2308.25,2.46,83.73,2.46,0,15.6,0,1.64,3.28,0,2.46,830.71,0,0,10.67,0,4.93
 36-46,8.06,0.81,13.7,0,0,163.55,1.61,0.81,2.42,16.92,0.81,0.81,4.83,2.42,0.81,0.81,0,1.61,11.28,50.76,0.81,0.81,12.09,4788.9,2.42,87.82,1.61,0.81,18.53,1.61,0,1.61,0,0,1212.53,0,0,3.22,0,1.61
 48-58,2.87,0,26.4,1.72,0,883.09,1.72,3.44,4.59,101.56,0,0.57,4.02,2.87,0.57,2.3,3.44,2.87,14.35,111.89,0.57,2.87,17.79,6349.15,2.3,54.51,4.59,0,18.94,0,0,0,1.72,0,1384.02,0,0,9.18,0,13.2
 60-70,3.93,0,27.48,1.96,0,1661.72,2.94,3.93,3.93,105.02,3.93,0,2.94,4.91,0.98,2.94,0,4.91,6.87,106,4.91,2.94,5.89,7328.04,4.91,36.32,0.98,0.98,19.63,0,0,1.96,0.98,0,1137.58,2.94,2.94,5.89,0.98,14.72
 72-82,21.6,0,86.39,27.49,0,1989.83,1.96,2.94,14.72,193.39,13.74,0.98,3.93,14.72,1.96,9.82,5.89,4.91,3.93,278.79,0,7.85,22.58,6716.53,1.96,96.2,8.83,3.93,15.71,0,0,0.98,0,0,677.35,14.72,5.89,24.54,5.89,22.58
 84-94,10.62,0,124.26,14.87,1.06,1428.44,5.31,6.37,6.37,181.61,15.93,0,5.31,11.68,4.25,9.56,1.06,5.31,9.56,138.06,1.06,10.62,11.68,3752.18,2.12,96.65,5.31,3.19,31.86,0,0,3.19,1.06,0,407.82,21.24,6.37,9.56,7.43,9.56
 96-106,20.76,0,122.4,24.04,2.19,1093.94,4.37,7.65,2.19,172.67,21.86,0,4.37,14.21,3.28,8.74,2.19,7.65,5.46,133.33,4.37,6.56,14.21,3087.29,2.19,138.79,9.84,4.37,39.34,3.28,0,4.37,2.19,0,173.76,26.23,3.28,7.65,3.28,13.11
108-118,7.66,0.77,56.68,12.26,3.06,913.79,3.83,1.53,2.3,108,13.02,0,0,9.19,2.3,3.06,0.77,7.66,5.36,93.45,0.77,3.83,8.43,4068.8,0.77,85.79,3.06,3.06,14.55,0,0,0.77,0,0,141.7,29.87,0.77,8.43,3.06,2.3
120,5.88,0,88.19,13.72,5.88,891.7,5.88,9.8,0,168.54,5.88,0,0,11.76,5.88,1.96,1.96,5.88,5.88,76.43,1.96,7.84,19.6,5150.32,3.92,70.55,1.96,3.92,27.44,0,0,1.96,0,0,186.18,15.68,5.88,11.76,5.88,0
