stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  7-9,2.63,2.63,0,0,0,0,10.51,0,0,0,0,63.09,0,0,0,2.63,0,0
 10-12,0,0,0,0,6.29,0,31.47,0,0,0,0,368.2,0,0,9.44,0,0,0
 14-21,0,1,160,18,1,2,3,1,1,0,0,1,1,1,0,3,0,3
 24-34,0,0,0.82,22.16,0,1.64,1.64,0,8.21,0.82,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,8.06,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,13.2,0,0,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
