stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,1,0,0,0,0,0,2,0,5,0,0,0,1,11,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,2.46,0.82,38.58,0,1.64,0,0,21.34,0,0,0
 36-46,0,0.81,0,3.22,0,1.61,0,0,0,5.64,0,55.59,0,1.61,0.81,0.81,22.56,0,0,0
 48-58,0,0.57,0,4.59,1.15,1.15,0,0,0,2.87,2.3,57.95,0.57,0.57,0,0,17.21,0,0,0
 60-70,0,1.96,0,3.93,0,2.94,0,0,0,5.89,0,76.56,0,0,0,0,15.7,0.98,0,0
 72-82,0,0.98,0,2.94,3.93,2.94,0,0,0,2.94,0,83.44,0,0,1.96,0,5.89,0.98,0.98,0.98
 84-94,0,0,0,6.37,1.06,2.12,0,1.06,0,4.25,0,32.92,0,0,1.06,3.19,4.25,0,0,0
 96-106,0,2.19,0,0,1.09,0,1.09,0,2.19,3.28,0,32.79,0,0,1.09,0,1.09,0,1.09,0
108-118,1.53,0.77,0,3.06,0.77,0.77,0,0.77,0,0.77,0,29.87,0,0,1.53,0,0.77,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,64.67,0,0,0,0,1.96,0,0,0
