stage,erythrocytes,eye,glial,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,2,0,1
 24-34,0,0,0,0,0,0,1.64,2.46,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,2.42,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,1.15,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06,1.06
 96-106,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,4.6,0,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
