stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,49.95,0,13.14,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,37.76,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,3,0,2,0,0,0,1,0,0,0,0,0,13,0,1,0,3,0,0,2,1,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0.82,0.82,1.64,0,0,12.31,0,0,0,0,0,0.82,0.82,3.28,1.64
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,2.42,7.25,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0.57,0,0.57,1.15,0,0,0.57,0,0,0.57,0,0,1.72,0,0,0,0,0,0.57,0,2.3,0
 60-70,0,0,0.98,0,3.93,0,0,0,0.98,0,0,0,0.98,0.98,5.89,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,0,2.19,0,0,4.37,1.09,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,2.3,0,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0
