stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,1,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,2.46,0,0,0.82,14.78,0,0,0,0,0,2.46,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,0.81,0,0,0,0,2.42,0,0,0.81,21.75,0.81,0,0.81,0,0,3.22,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,4.02,0,2.87,0.57,0,0,0,2.87,0,0,0.57,17.21,0,0,0,0,0,0.57,0,4.02,0,0,0,0
 60-70,0,0,0,0.98,0,54.97,0,1.96,0,0,0,0,1.96,0,0,0,14.72,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,184.55,0,2.94,0,0,0.98,0,11.78,0.98,0.98,0.98,15.71,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98
 84-94,0,1.06,0,0,0,152.93,0,0,2.12,0,0,0,9.56,0,0,1.06,5.31,0,0,0,0,0,3.19,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,157.37,1.09,4.37,1.09,1.09,1.09,1.09,7.65,0,0,1.09,2.19,0,0,3.28,0,0,5.46,1.09,1.09,0,0,1.09,0
108-118,0,0,0,3.06,0,110.3,0,2.3,0,0.77,0,0.77,3.06,0,0,1.53,5.36,0,0.77,0.77,0,0,4.6,0,0,0.77,0,0,0.77
120,0,0,0,0,1.96,94.07,0,0,1.96,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
