stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,252.36,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,273.79,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,607.37,0,0,0,18.88,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,3,94,16,0,122,0,1,0,18,6,0,0,0,0,0,6,2,0,21,0,0,11,690,1,0,1,0,0,0,0,2,78,0,2,104,0,0,0,0
 24-34,0,0,0,13.95,55,1.64,0,15.6,0,13.13,0,29.55,4.93,0,0.82,0,1.64,0,50.89,2.46,0,25.45,0.82,0,55,393.19,3.28,1.64,8.21,0,0,2.46,0,1.64,39.4,0,5.75,109.99,0,0,2.46,0
 36-46,0,0,0,2.42,30.62,0,0,16.92,0.81,14.5,0,22.56,7.25,0,0,0,0.81,1.61,39.48,4.03,0,57.2,1.61,0,80.57,194.17,0,3.22,8.86,0,0,1.61,0,0,11.28,0,0,114.41,0,0,0,0
 48-58,0,0,0,1.15,25.25,0,0,19.51,0,16.64,2.3,24.67,8.61,0.57,0,0,0.57,4.02,29.26,4.59,0,51.07,0,1.15,91.23,110.17,0,2.3,6.89,0,0,1.15,0,0,4.59,0,0,95.83,0,0,0.57,0
 60-70,0,0,0,1.96,30.43,0,0,16.69,0.98,18.65,5.89,14.72,13.74,0,0.98,0,5.89,18.65,13.74,15.7,0,71.65,0,0.98,68.71,83.43,0,1.96,1.96,0,0,0,0,0,6.87,0,0,59.87,0,1.96,1.96,0
 72-82,0,0,3.93,1.96,24.54,0,6.87,40.25,0.98,22.58,0.98,20.61,33.38,0,0,0,9.82,16.69,34.36,3.93,0,123.69,0,2.94,113.87,79.51,0,7.85,9.82,0,0,0.98,0,0,11.78,0,0,34.36,0,0,0.98,6.87
 84-94,0,0,4.25,3.19,36.11,2.12,30.8,49.92,0,32.92,0,13.81,35.05,0,1.06,0,11.68,8.5,25.49,20.18,0,83.9,0,1.06,94.52,67.97,0,7.43,8.5,0,0,4.25,0,0,15.93,0,0,22.3,3.19,1.06,4.25,1.06
 96-106,0,0,4.37,2.19,57.92,2.19,28.41,31.69,1.09,31.69,0,17.49,56.83,0,3.28,4.37,27.32,7.65,26.23,12.02,1.09,87.43,0,0,81.96,62.29,0,5.46,22.95,0,1.09,2.19,0,0,9.84,0,0,10.93,3.28,5.46,2.19,2.19
108-118,0,0,2.3,9.96,56.68,0,60.51,36,0.77,46.72,1.53,15.32,52.09,0,0,0,16.85,12.26,22.98,22.21,0,102.64,0.77,0.77,98.81,69.7,0,6.89,20.68,0,0,0,0,0,10.72,0.77,0,6.13,3.06,0,4.6,2.3
120,0,0,1.96,1.96,52.91,1.96,27.44,47.03,0,47.03,0,7.84,35.28,0,0,0,15.68,17.64,25.48,15.68,0,74.47,1.96,1.96,76.43,92.11,0,1.96,19.6,0,0,0,0,0,3.92,0,0,7.84,1.96,1.96,1.96,3.92
