stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,6.89,30.41,0,0.57,1.15,0,0,0,0,0,0,0,0,4.59,0,0.57,0.57,23.53,0,0,0,0.57,0,43.61,0,3.44,0,1.15,0.57
 60-70,0,0,0,0,0.98,0,0,4.91,44.17,0.98,0,2.94,0,0,0,0.98,0.98,0,0,0,1.96,0,0,1.96,14.72,0,0,3.93,0,0.98,35.33,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,9.82,59.88,0,0,2.94,0,0,0,0,0,0,0,0,7.85,0.98,0,3.93,17.67,0.98,0,2.94,0,0,20.61,0,3.93,0,0,1.96
 84-94,0,0,0,0,3.19,0,0,6.37,104.08,2.12,0,5.31,0,0,0,6.37,1.06,1.06,1.06,1.06,3.19,0,0,4.25,9.56,0,0,4.25,0,0,56.29,0,2.12,0,0,1.06
 96-106,0,0,0,0,2.19,5.46,1.09,15.3,142.07,0,0,1.09,2.19,0,0,1.09,0,0,0,0,5.46,0,0,5.46,17.49,1.09,0,3.28,0,0,34.97,0,2.19,1.09,3.28,3.28
108-118,0,0,0,0,3.06,0,0,7.66,88.85,0.77,0.77,1.53,0,0,0,0,0,0,0.77,0,9.19,0,0,9.96,14.55,0,0.77,0.77,0,0,39.83,0,0,0,0,0
120,0,0,0,0,1.96,0,0,3.92,35.28,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,3.92,9.8,0,0,1.96,0,0,5.88,0,0,0,0,1.96
