stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,4.93,0,0,0,2.46,0,0,18.88,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,0.81,0,0.81,0.81,0,0,4.03,0,0,0,0,0,1.61,61.23,0,0,0,0,0,8.86,0,0
 48-58,0,0.57,0.57,0,2.3,0,0,1.15,0,0,1.72,0,0,0,1.72,0,0.57,69.43,0.57,0,0,0.57,0,6.31,0,0
 60-70,0,0,2.94,0,13.74,0,0,3.93,0,0,2.94,0,0,0,8.83,0,1.96,129.56,0.98,0,0,0.98,0,10.8,0,0
 72-82,0,0.98,1.96,0,40.25,0,0,32.39,0,0,1.96,0,0,0,9.82,0,1.96,172.77,0.98,0,0.98,1.96,0,11.78,0.98,0.98
 84-94,1.06,1.06,2.12,1.06,20.18,0,0,24.43,2.12,0,3.19,0,1.06,0,4.25,1.06,0,114.7,0,1.06,0,1.06,0,5.31,0,0
 96-106,0,1.09,3.28,0,33.88,0,0,22.95,0,0,5.46,0,0,1.09,9.84,1.09,2.19,84.15,0,0,0,1.09,0,5.46,2.19,1.09
108-118,0,4.6,2.3,0,42.13,0,0,19.15,0.77,0.77,3.83,0,0,0,11.49,0,0,131.75,0.77,0,0,0,0,3.06,3.06,0
120,0,0,3.92,0,31.36,1.96,0,17.64,0,0,0,1.96,1.96,0,3.92,0,0,192.06,0,0,0,0,1.96,1.96,3.92,0
