stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,39.43,5.26,0,18.4,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,141.95,21.03,0,0,199.78,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,62.94,0,0,97.56,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,24,4,8,0,0,0,2,1,1,1,0,0,0,0,0,0,6,0,0,18,83,333,0,1,1,4,55,0,28,65,35,4,1
 24-34,0,0,1.64,4.1,17.24,3.28,14.78,0.82,0.82,0,4.1,0,0.82,4.1,0.82,6.57,0,8.21,0.82,6.57,55,0,0,56.64,166.63,18.06,0.82,1.64,0,17.24,0,1.64,40.22,12.31,90.29,16.42,7.39
 36-46,0,0,0,0.81,2.42,0,5.64,8.06,0.81,0.81,2.42,0,0,0,0,0.81,0.81,1.61,0,0,22.56,2.42,0,7.25,30.62,7.25,0,0,0,25.78,0,0.81,12.09,0.81,15.31,4.83,2.42
 48-58,0,0,0,0,0.57,0,4.59,0.57,0.57,0,2.3,0,0,0.57,0,0.57,0,1.15,0,0.57,4.59,0,0,0.57,4.02,2.87,0,0,0,22.38,0,0,2.87,0,1.15,1.15,0.57
 60-70,0,0,0,0,1.96,0,0.98,0,0,0.98,6.87,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0,1.96,8.83,5.89,0,0,0,20.61,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,6.87,0,0.98,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,2.94,0,0,0,2.94,0.98,0,0,0,6.87,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,7.43,0,0,0,1.06,0,4.25,1.06,1.06,0,0,1.06,1.06,4.25,0,0,4.25,1.06,0,0,6.37,0,0,0,0,22.3,0,0,0,0,0,0,0
 96-106,0,0,0,0,10.93,1.09,1.09,0,0,0,5.46,0,0,0,0,0,2.19,5.46,0,1.09,8.74,0,0,0,2.19,1.09,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,15.32,0,0.77,0,0.77,0,3.83,0.77,0,0,0.77,0,0.77,6.13,0,0,6.89,0.77,0,0,0.77,3.06,0.77,0,0,6.13,0,0,0,0,0,0.77,0
120,0,0,0,0,9.8,0,0,0,0,0,11.76,1.96,0,0,0,1.96,1.96,7.84,0,0,3.92,1.96,1.96,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
