stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,1,0,0,0,0,2,1,0,2,4,0,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,53.36,0.82,0,0.82,0,0,2.46,0,0.82,0.82,13.95,0,0,1.64,0,0
 36-46,0,0,2.42,0.81,0,5.64,0.81,0.81,0.81,0,0,0,0,0,0,0,0.81,2.42,0,0,2.42,179.66,0.81,8.06,0,0,0,0,0,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,18.36,0.57,0,2.3,0.57,0.57,0,0,0,0.57,0,0.57,6.31,0,0,0,300.67,0,2.3,1.15,0,0,1.15,0,0,0,36.15,0,0.57,0,0,0
 60-70,0,0,1.96,0,0,60.85,0,0,5.89,0,0,0,0,0.98,0.98,0,0,11.78,0,0,0.98,654.68,0.98,4.91,0,0,0,2.94,0,0,0,59.87,0,0,1.96,0,0
 72-82,0,1.96,1.96,0,0,133.51,0,0,13.74,0,0,0.98,0.98,0,0,0,0,16.69,0,0,0.98,783.37,0,9.82,0.98,0,0,2.94,0,0,0,53.01,0.98,0,0.98,0,0
 84-94,0,0,9.56,4.25,0,103.02,0,2.12,11.68,0,1.06,2.12,1.06,0,0,0,0,18.05,0,0,1.06,405.7,0,5.31,1.06,0,0,9.56,0,0,0,26.55,0,0,2.12,1.06,0
 96-106,0,0,4.37,0,0,99.45,1.09,1.09,13.11,1.09,0,2.19,0,0,0,1.09,0,16.39,0,0,0,381.4,1.09,10.93,3.28,0,1.09,8.74,0,0,0,10.93,0,1.09,1.09,0,0
108-118,0,0,4.6,0.77,0.77,75.83,0,1.53,8.43,1.53,0,2.3,0.77,2.3,0,0.77,0,11.49,0.77,0,0.77,472.6,0,3.06,0.77,0,0,3.06,0,0,0,13.79,0.77,0.77,0.77,0,0.77
120,0,0,9.8,1.96,0,88.19,0,1.96,15.68,0,0,1.96,0,0,0,1.96,0,11.76,1.96,1.96,0,548.74,1.96,5.88,1.96,0,0,5.88,0,0,0,19.6,1.96,0,3.92,0,0
