stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,33,0,0,0,0,2,6,0,1,5,6,0,0,0,0
 24-34,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,2.46,24.63,0,0.82,0,0,1.64,0,0,0,0.82,4.1,0,0,0,0
 36-46,0,0,0.81,0,0,6.45,0.81,0,1.61,0,0,0,0,0,0,0.81,4.83,0,0,1.61,20.14,0.81,0,0,0,2.42,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0.57,0,0,4.02,0,0,0.57,0,0,0,0,0,0.57,0,4.02,0,0.57,0,24.67,0,0.57,0.57,0,1.15,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,0,7.85,0.98,0.98,1.96,0,0,0,0,0,0,0,2.94,0.98,0,0.98,19.63,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0
 72-82,0,0,0,1.96,0,7.85,0.98,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0.98,10.8,0,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,11.68,1.06,1.06,0,0,0,1.06,1.06,1.06,0,0,4.25,0,0,0,9.56,0,0,0,0,11.68,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,2.19,0,6.56,1.09,0,0,1.09,0,0,0,0,0,0,3.28,0,0,0,8.74,0,0,0,0,4.37,0,0,0,0,0,0,3.28,0,0
108-118,0,0,3.06,0,0.77,4.6,0,0,0,1.53,0,0,1.53,0,0,0,3.83,0.77,0,0.77,6.13,0,1.53,0,0,15.32,0,0,0,0,0,0.77,0.77,0,0.77
120,0,0,3.92,1.96,0,5.88,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,7.84,0,0,1.96,0,5.88,0,1.96,0,0,0,0,1.96,0,0
