stage,blastomeres,endoderm,epidermis,erythrocytes,eye,heart,immune,ionocyte,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,3.15,0,0
 14-21,0,0,2,3,0,0,0,0,4,1,0,0,0,1,1,2
 24-34,0,0.82,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,9.03
 36-46,0,0,0,0,1.61,0.81,0,0,1.61,0,0,0,0,1.61,0,3.22
 48-58,0,0,0,0,0.57,0,0,0,2.3,1.15,0,0,0,0.57,0,2.3
 60-70,0,0,0,0,0.98,0.98,0.98,0,1.96,2.94,0,0,0,0,0,2.94
 72-82,0,0,0,0,3.93,0,0.98,0,0,2.94,0,0,0,0,0.98,2.94
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,2.12
 96-106,0,0,2.19,0,1.09,1.09,5.46,0,1.09,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0,6.13,0.77,0,0.77,0,0.77,0,0.77,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
