stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,70.98,5.26,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,18,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,19,0,0,0,2,3,7,0,2,4,0,0,0
 24-34,0,0,0,2.46,0,2.46,0,0,0,0.82,0,0,0,1.64,0,3.28,0,0,2.46,14.78,1.64,0,0,0,6.57,0,0,0.82,3.28,0,2.46,0
 36-46,0,0,0,1.61,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,8.06,0,0,1.61,0,3.22,0,0,0,3.22,0,0,0
 48-58,0,0,0,1.15,0,5.74,0.57,0.57,1.72,0,0,0,0,0,0,4.02,0,0.57,1.72,10.9,0,0,0,0,5.16,0,0.57,0,3.44,0,0,0
 60-70,0,0,0,1.96,0,8.83,0.98,0,2.94,0,0,0,1.96,0,0,7.85,0,0.98,1.96,8.83,0,0.98,0,0,4.91,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,6.87,0,0,1.96,0,0,0,2.94,0,0,1.96,0,0.98,0,4.91,0,0,0,0,2.94,0,0.98,0,0,0,0,0
 84-94,0,0,0,4.25,0,7.43,1.06,0,0,0,0,0,2.12,0,1.06,3.19,0,0,0,1.06,0,1.06,0,0,5.31,0,2.12,0,1.06,0,0,1.06
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,4.37,1.09,1.09,1.09,0,4.37,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,3.83,0,0.77,0,0,0.77,0,0,0.77,2.3,0,0,1.53,0.77,0,0,3.83,0,0,0,0,8.43,0,0,0,0,0,0,0.77
120,0,0,1.96,3.92,0,3.92,3.92,0,0,0,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,13.72,0,1.96,0,0,0,0,0
