stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0
 48-58,0,0,0,9.18,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,34.35,0.98,0.98,0.98,0,0,0.98,0,3.93,1.96,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,45.16,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0,9.82,0.98
 84-94,0,0,0,134.88,0,0,3.19,1.06,1.06,0,1.06,1.06,0,0,0,2.12,0,0,0,36.11,0
 96-106,0,0,2.19,136.61,1.09,1.09,1.09,0,0,0,3.28,5.46,1.09,1.09,0,2.19,0,0,0,45.9,1.09
108-118,0,0,2.3,153.19,0,3.06,3.06,0.77,0.77,0,2.3,6.89,1.53,0,0,0.77,0,0,0,40.6,0
120,0,0,0,48.99,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,23.52,0
