stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,3478.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,2200.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,36.78,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,26.29,0,57.83,0,0,107.78,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,962.11,28.92,0,0,368.02,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,50.35,0,0,91.26,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,638.83,25.18,0,0,242.32,0,0,3.15,3.15,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,2,7,54,13,27,0,0,0,9,1,0,1,0,0,0,0,1,2,31,0,0,31,452,7,7,6,7,0,3,2,44,3,9,43,138,0,0,5,0,0
 24-34,0,0,0,0.82,11.49,4.1,43.51,0,2.46,0,13.13,0,0,0.82,0,1.64,0,1.64,0,0.82,50.89,0,0,17.24,655.04,2.46,19.7,5.75,0,0,4.1,0,0,0.82,1.64,5.75,131.34,0,0,10.67,0,0.82
 36-46,0,0,0,0,8.06,0.81,79.76,0,0.81,0.81,14.5,0.81,0,0.81,0,0.81,0,0.81,0.81,0.81,63.65,1.61,1.61,21.75,827.42,0.81,10.47,4.83,0,0.81,11.28,0,0.81,1.61,0.81,0,151.47,0,0,6.45,0,0.81
 48-58,0,0,0,0,4.02,0,121.07,0,1.15,4.02,24.67,0.57,0,2.3,0.57,0.57,1.72,2.3,1.72,0.57,71.15,1.15,1.72,8.61,657.01,0.57,6.89,4.59,0,0,5.16,0,0,0.57,0,0,94.68,0,0,4.02,0,2.3
 60-70,0,0,0,0,3.93,0,159.99,0,0.98,0.98,34.35,0,0,0.98,0.98,0.98,0,0,0.98,0.98,80.48,0,2.94,10.8,632.1,2.94,5.89,2.94,0,0,5.89,0,0,1.96,0,0,73.61,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,6.87,1.96,157.07,0,0.98,5.89,29.45,4.91,0,0,0,0.98,1.96,3.93,0,0.98,115.84,0.98,3.93,7.85,464.33,0,7.85,1.96,0,0,7.85,0,0,0,0,0,53.99,0.98,4.91,12.76,2.94,4.91
 84-94,0,0,2.12,0,16.99,3.19,116.82,1.06,6.37,5.31,41.42,3.19,0,6.37,4.25,2.12,2.12,2.12,0,1.06,89.21,1.06,6.37,16.99,301.62,2.12,5.31,3.19,0,0,37.17,0,0,1.06,0,0,28.68,1.06,1.06,8.5,1.06,0
 96-106,0,0,0,0,17.49,4.37,77.59,0,2.19,7.65,40.44,1.09,0,5.46,4.37,4.37,3.28,2.19,1.09,1.09,95.08,2.19,8.74,12.02,239.33,3.28,13.11,12.02,0,1.09,22.95,0,0,1.09,0,0,15.3,1.09,1.09,7.65,7.65,1.09
108-118,0,0,0.77,0,26.04,2.3,72.77,0.77,3.06,2.3,35.23,9.96,0,0.77,8.43,3.83,6.13,4.6,0.77,1.53,87.32,0.77,3.83,8.43,337.02,2.3,5.36,8.43,0,0.77,14.55,0,0,0,0.77,0,13.79,2.3,1.53,6.13,3.06,4.6
120,0,0,0,0,9.8,0,62.71,1.96,0,5.88,31.36,3.92,0,7.84,1.96,0,0,1.96,0,0,52.91,0,1.96,5.88,258.69,1.96,0,5.88,0,0,7.84,1.96,0,0,0,0,5.88,0,0,7.84,0,0
