stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,15.73,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,4,52,14,0,9,0,2,0,0,4,1,1,2,0,0,0,0,0,26,0,0,12,55,14,0,2,1,0,3,5,0,0,3,17,0,0,4,0,0
 24-34,0,0,2.46,2.46,51.71,3.28,0,17.24,0,14.78,4.1,3.28,4.1,0,2.46,13.13,0,0.82,3.28,0,0,52.53,0.82,2.46,25.45,84.55,13.13,0,12.31,0,0,9.03,0,5.75,0,2.46,27.09,0,0,13.95,0,0
 36-46,0,0,0,0.81,20.14,0,0,8.86,0,4.03,4.03,4.03,1.61,0,1.61,16.92,0.81,0.81,4.03,0,1.61,42.7,0,0,11.28,34.64,11.28,0.81,5.64,0,0,9.67,0,1.61,0.81,0,10.47,0,0,8.86,0.81,0.81
 48-58,0,0,0,0.57,7.46,0,0,8.61,0,6.89,1.72,4.59,1.15,0.57,1.15,6.89,0,2.3,0.57,0,1.15,44.76,0.57,1.15,6.31,14.35,4.59,0.57,5.74,0,0.57,4.59,0,0.57,0,0,4.59,0,0.57,8.03,0,2.3
 60-70,0,0,0.98,0,28.46,0,0,9.82,0,8.83,2.94,12.76,1.96,1.96,0,20.61,1.96,4.91,2.94,0.98,1.96,72.63,2.94,2.94,4.91,22.58,3.93,4.91,5.89,0,2.94,14.72,0,0,0,0,5.89,0,3.93,0.98,0.98,3.93
 72-82,0,0,1.96,0,38.28,0.98,0,10.8,0,14.72,12.76,35.34,2.94,2.94,3.93,65.77,0.98,0,2.94,0.98,1.96,162.96,3.93,3.93,13.74,25.52,2.94,7.85,14.72,0,0.98,14.72,0,2.94,0,0,2.94,1.96,3.93,17.67,7.85,4.91
 84-94,0,0,3.19,0,60.54,2.12,0,18.05,0,30.8,5.31,8.5,9.56,5.31,0,46.73,1.06,5.31,2.12,2.12,1.06,75.4,3.19,6.37,4.25,19.12,9.56,3.19,14.87,0,2.12,58.41,0,4.25,0,0,2.12,1.06,3.19,10.62,5.31,6.37
 96-106,0,0,2.19,0,90.71,1.09,1.09,16.39,0,33.88,4.37,26.23,16.39,0,5.46,78.68,6.56,0,5.46,4.37,0,114.75,4.37,5.46,10.93,27.32,8.74,4.37,14.21,0,5.46,71.04,0,2.19,0,0,0,8.74,5.46,10.93,10.93,3.28
108-118,0,0,1.53,0.77,124.85,0,2.3,18.38,0,46.72,3.83,26.81,13.02,0,2.3,66.64,3.06,8.43,5.36,7.66,4.6,103.41,4.6,3.06,6.13,19.15,9.96,6.89,7.66,0,1.53,46.72,0,2.3,0,0,0.77,6.89,3.06,16.85,6.89,7.66
120,0,0,0,0,111.71,1.96,1.96,7.84,1.96,33.32,9.8,17.64,9.8,0,1.96,68.59,7.84,5.88,13.72,1.96,3.92,64.67,3.92,7.84,9.8,29.4,3.92,5.88,13.72,0,1.96,94.07,0,0,0,0,0,0,1.96,5.88,7.84,3.92
