stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.41,9092.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658.9,0,0,0,0,0,0,0,0,0
  5-6,361.65,2598.97,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,447.46,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,26.29,76.23,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,22.03,22.03,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,18,2,0,0,0,0,0,8,5,0,0,4,0,0,0,0,1,2,0,3,9,38,0,1,1,223,1,8,2,9,0,0,2,0,0
 24-34,0,0,0,0,9.03,0,0,1.64,0.82,0,0,4.93,0,0,0,8.21,0,0,0.82,0,1.64,1.64,0,0.82,22.98,40.22,5.75,2.46,0,375.13,0,19.7,0,13.95,0,0,4.1,0,0
 36-46,0,0,0,0.81,4.03,0,0,3.22,0.81,0,0.81,7.25,0,0,0,1.61,0,0.81,1.61,0.81,1.61,2.42,0,1.61,20.14,37.06,5.64,0.81,0,336.77,0,24.17,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0,5.16,0,0,6.31,2.3,0,0.57,4.02,3.44,0.57,0,0,0,0,2.3,0,5.74,1.72,0,1.15,23.53,10.33,0,1.15,0,250.18,0,8.03,0,13.77,0,0,0.57,0,1.15
 60-70,0,0,0,0,11.78,0,0,7.85,3.93,0,2.94,11.78,3.93,0,0,1.96,0,0.98,0.98,0,3.93,1.96,0,0,32.39,3.93,3.93,0.98,0,258.14,0,6.87,0,9.82,0,0.98,0,0,0
 72-82,0,0,0,1.96,18.65,1.96,0,11.78,5.89,0,4.91,16.69,1.96,0,0,4.91,0,1.96,0,0,6.87,3.93,0,1.96,54.97,4.91,0.98,3.93,0,354.38,0,7.85,0,5.89,0,0,0,0,0
 84-94,0,0,1.06,0,36.11,3.19,0,10.62,16.99,0,2.12,28.68,0,0,1.06,16.99,0,2.12,1.06,0,4.25,8.5,0,0,33.99,4.25,7.43,0,0,1111.95,0,19.12,0,6.37,2.12,1.06,1.06,0,1.06
 96-106,0,0,1.09,1.09,71.04,1.09,1.09,14.21,17.49,2.19,4.37,28.41,1.09,0,0,22.95,0,2.19,0,0,8.74,9.84,1.09,0,33.88,3.28,8.74,2.19,0,1285.19,0,14.21,0,3.28,4.37,0,1.09,1.09,1.09
108-118,0,0,0,1.53,63.57,0,2.3,4.6,23.74,0.77,2.3,34.47,0,0,0,22.98,0.77,2.3,2.3,0,8.43,20.68,0,1.53,29.11,0,1.53,0,0,990.39,0,22.21,0,0,1.53,0,2.3,0.77,1.53
120,0,0,0,0,31.36,0,0,0,19.6,0,0,37.24,0,0,0,9.8,0,3.92,0,0,5.88,1.96,0,0,47.03,0,1.96,1.96,0,519.34,0,15.68,0,1.96,0,0,0,0,1.96
