stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,somites,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,4.25,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,14.21,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0.77,0,6.89,0,0.77
120,0,0,0,0,1.96,1.96,0,0,0,0,0,21.56,0,0
