stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,2,7,1,0,0,1,0,0,4,2,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,3.28,4.93,0.82,0,0.82,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,0.57,0.57,1.15,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0.98,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,1.96,13.74,0,0,0.98,0,0,1.96,0.98,3.93,0.98,0,0.98,0,0,0,0,0.98,0
 84-94,0,2.12,1.06,10.62,1.06,0,2.12,1.06,0,1.06,0,5.31,0,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,1.09,5.46,6.56,0,0,1.09,0,1.09,0,1.09,4.37,0,0,3.28,0,1.09,0,0,0,2.19
108-118,0,1.53,2.3,9.19,0.77,0,1.53,0,1.53,2.3,0,4.6,0,0,0.77,0,0,1.53,0,0.77,0
120,0,0,1.96,5.88,1.96,0,0,0,0,1.96,0,3.92,0,0,3.92,0,0,0,0,0,0
