stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,25,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,28,1,0,0,0,4,0,3,1,62,71,23,0,0,0,0,0
 24-34,0,1.64,107.53,0,0,8.21,48.43,13.13,0,0,0.82,0,0,0,1.64,0,0,0,0,7.39,0.82,0,9.03,339.83,0,1.64,3.28,0,36.12,0,0,0.82,38.58,43.51,121.49,0,0,3.28,0,0
 36-46,0,0.81,108.77,0.81,0,5.64,149.85,23.36,0,2.42,0,0,0,0,0,0,0,0,1.61,2.42,2.42,0,8.06,701.74,0,8.06,1.61,0,37.06,0.81,0,1.61,33.03,5.64,194.97,0,0,0,0,2.42
 48-58,0,0,144.03,0.57,0,86.07,255.92,54.51,0,8.61,0.57,0.57,0.57,0.57,0,0,2.3,0.57,1.15,18.94,2.87,0.57,14.92,991.53,1.15,5.74,4.59,0,34.43,0,0,0.57,41.31,0,166.98,0,0,1.72,0,4.02
 60-70,0,1.96,218.88,0.98,0,174.71,209.06,74.6,1.96,10.8,0,0,0,0.98,1.96,0,1.96,0.98,0,24.54,2.94,0,22.58,1730.42,0.98,4.91,14.72,0,46.13,0,0,0.98,44.17,0,197.29,0,0.98,0.98,1.96,0
 72-82,0,3.93,336.71,13.74,0,478.07,168.85,88.35,0.98,50.06,4.91,0.98,1.96,3.93,2.94,0.98,1.96,3.93,0,53.99,2.94,2.94,17.67,2426.67,0.98,3.93,28.47,0,64.79,1.96,0,0.98,19.63,0,143.32,6.87,1.96,4.91,1.96,7.85
 84-94,0,4.25,558.63,9.56,0,279.32,244.27,145.5,1.06,50.98,7.43,0,1.06,4.25,6.37,3.19,3.19,8.5,0,40.36,6.37,0,21.24,1245.77,0,8.5,55.23,0,146.56,0,0,2.12,36.11,0,64.78,11.68,2.12,1.06,1.06,3.19
 96-106,0,3.28,760.62,14.21,3.28,306,415.28,168.3,2.19,56.83,10.93,0,0,4.37,9.84,2.19,6.56,8.74,1.09,54.64,9.84,1.09,33.88,1194.48,1.09,13.11,74.31,0,139.88,3.28,0,2.19,38.25,0,40.44,12.02,3.28,8.74,4.37,0
108-118,0,3.06,802.73,6.89,9.19,222.9,333.96,229.02,1.53,34.47,10.72,0,0,5.36,11.49,3.83,3.06,7.66,1.53,33.7,6.13,1.53,45.96,1594.73,0,6.13,53.62,1.53,100.34,0,0,3.83,41.36,0,25.28,10.72,0.77,4.6,1.53,1.53
120,1.96,3.92,850.55,13.72,1.96,244.97,199.9,211.66,5.88,33.32,9.8,0,0,11.76,1.96,1.96,5.88,11.76,0,39.2,13.72,1.96,39.2,2155.76,3.92,7.84,64.67,1.96,101.91,1.96,1.96,11.76,25.48,0,39.2,13.72,3.92,7.84,1.96,0
