stage,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,neural,otic,somites,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,2,0,1,1,0
 24-34,0,0,0,0,0,0.82,0.82,0.82,0,0,0
 36-46,0.81,0,0,0,0,0,0.81,0,0,0,0
 48-58,4.02,0,0,0,0.57,2.3,0.57,0,0,0,0
 60-70,27.48,0,0,0,0,2.94,0.98,0,0,0,0
 72-82,33.38,0.98,1.96,0.98,0,0,1.96,1.96,0,0,0
 84-94,15.93,0,0,0,2.12,1.06,1.06,1.06,0,0,1.06
 96-106,22.95,0,1.09,0,0,0,3.28,4.37,0,0,0
108-118,9.96,0,0.77,0,0.77,0.77,0.77,3.06,0,0,0
120,5.88,0,0,0,0,0,1.96,3.92,0,0,0
