stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,7,4,0,0,0,0,0,0,0,1,111,0,0,0,0,0
 24-34,0,4.93,0,5.75,0,0,9.03,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,4.1,0,0,2.46,681.31,1.64,24.63,0.82,0,0,0,0,0,0,0.82,288.12,0,0,1.64,0,0
 36-46,0,1.61,0,3.22,0,0,55.59,0,0.81,0,7.25,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,1493.71,0.81,26.59,0,0,0,0.81,0,0,0,0,455.2,0,0,0.81,0,0.81
 48-58,0,1.72,0,4.59,0.57,0,187.63,1.15,1.72,1.72,14.92,0,0,0.57,0,0,0,0.57,0.57,1.15,13.77,0,0.57,3.44,1783.96,1.72,12.62,0,0,0,2.3,0,0,0.57,0,368.96,0,0,1.72,0,1.72
 60-70,0,0,0,10.8,0.98,0,762.64,0,0,0.98,46.13,0.98,0,0,1.96,0,0.98,0.98,0,0,22.58,0,1.96,1.96,3053.51,0.98,9.82,1.96,0,0.98,1.96,0,0,1.96,0,404.39,0,0,0,0,0
 72-82,0,5.89,0,15.71,7.85,0,1151.49,0,0,5.89,69.7,2.94,0,1.96,0,0.98,0.98,0,1.96,0,48.1,0,0.98,3.93,3114.81,0,19.63,0.98,0,1.96,4.91,0,0,0,0,218.91,0,0.98,5.89,1.96,3.93
 84-94,0,6.37,0,30.8,4.25,0,723.25,0,2.12,1.06,77.53,8.5,1.06,0,2.12,1.06,5.31,1.06,0,0,37.17,0,4.25,5.31,1716.25,2.12,18.05,6.37,0,0,5.31,0,0,0,0,151.87,1.06,2.12,2.12,3.19,0
 96-106,0,4.37,0,27.32,8.74,0,645.87,2.19,0,0,64.48,6.56,0,0,2.19,2.19,3.28,1.09,2.19,0,43.71,0,2.19,2.19,1535.45,1.09,29.51,5.46,0,0,5.46,0,0,1.09,0,78.68,1.09,2.19,4.37,0,4.37
108-118,0,3.06,0,19.15,5.36,0,475.66,0,3.06,3.06,49.02,2.3,0,0,3.83,0,0.77,0,1.53,0.77,26.04,0.77,2.3,3.83,1525.8,0,22.98,2.3,0,0.77,6.89,0,0.77,0,0,52.09,2.3,0,3.06,3.06,1.53
120,0,5.88,1.96,31.36,0,1.96,393.92,1.96,3.92,0,48.99,7.84,0,1.96,1.96,0,0,0,0,0,19.6,0,1.96,5.88,1783.4,3.92,23.52,5.88,0,1.96,9.8,0,0,0,0,88.19,0,0,7.84,3.92,0
