stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,152.47,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,105.15,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,28.32,0,6.29,0,0,396.52,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,827.65,0,0,0,47.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,98,46,72,0,0,0,1,0,0,0,0,0,4,0,2,0,0,1,309,0,0,16,0,0,3,0,1,95,0,0,0
 24-34,0,0.82,0,22.16,2.46,78.8,0,0.82,0,5.75,0,0,0,0,0,25.45,0.82,2.46,0.82,0,3.28,453.11,0.82,0.82,18.06,0,1.64,0,0,0,132.98,1.64,0,0
 36-46,0,0,0,6.45,0,33.03,0.81,0,0,29.81,0,0,0.81,0,0,20.14,0,0.81,0,0,0,537.38,0,1.61,7.25,0,0,0,0,0,114.41,0,0,0
 48-58,0,0,0,3.44,0,40.74,0.57,0.57,0,72.3,0,0,0,0,0,22.38,0,4.59,0,0,1.72,601.92,0.57,0.57,9.18,0,1.72,0,0,0,72.87,2.3,0,0.57
 60-70,0,0,0,4.91,0,26.5,0,0.98,0,88.34,0,0,0,0.98,0,6.87,0,4.91,0.98,0,0,648.79,0,0,10.8,0,0,0,0,0,27.48,0,0,1.96
 72-82,0,0,0,5.89,0,57.92,0.98,0,0,100.13,0,0,0.98,0,0.98,24.54,1.96,13.74,0,0,0,619.43,0,0,13.74,0,0.98,0,0,0,22.58,0,0.98,1.96
 84-94,0,0,0,6.37,1.06,54.16,0,0,1.06,55.23,0,0,0,1.06,1.06,14.87,1.06,8.5,0,0,0,362.15,0,1.06,35.05,0,1.06,0,2.12,0,12.74,0,0,2.12
 96-106,0,0,0,12.02,1.09,39.34,1.09,1.09,0,85.24,0,0,0,1.09,0,25.14,0,13.11,0,1.09,0,266.65,0,0,33.88,0,2.19,0,0,0,7.65,1.09,0,0
108-118,0,0,0,3.06,0.77,22.98,0,0,1.53,72.77,2.3,0,0,0.77,0,10.72,0,6.89,0,1.53,0.77,374.56,0.77,1.53,23.74,0,0,0,0,0,3.06,1.53,0.77,0
120,0,0,0,7.84,1.96,37.24,0,0,0,58.79,0,0,0,1.96,0,15.68,0,9.8,0,0,0,431.15,0,0,19.6,0,0,0,0,0,3.92,0,0,0
