stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,3.28,0,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,4.83,0,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,2.87,0,0.57,0.57,1.72,0,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,1.96,0.98,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0,3.93,0,0,0,2.94,0,0.98,2.94,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,0,1.06,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,4.37,2.19,0,0,3.28,1.09,0,0,0,0,0,0,1.09
108-118,0,0,2.3,0,1.53,0.77,0.77,0.77,0.77,0,2.3,0.77,0.77,1.53,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,0,0,5.88,0,0,5.88,0,0,1.96,0,0,0,0,0
