stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,1,1,4,1,0,0,0,0,0,1,0,0
 24-34,0,3.28,0,0,5.75,0,0,0,1.64,0.82,0.82,0,0,0,0,0.82,0,1.64,0.82,0,0,30.37,0,0.82,0.82,0,8.21,2.46,0,0.82,9.85,0,0,1.64,0,0
 36-46,0,0.81,0.81,0,3.22,0,0,0,0,0,0,0,0,1.61,1.61,0,0.81,0.81,0.81,0,0,28.2,0,0,1.61,0,6.45,2.42,0,0,2.42,0,0,0,0,0
 48-58,0,0.57,1.15,0,4.02,0.57,0,0,3.44,0,1.72,0,0,0.57,0.57,0,0,1.72,0,0,1.15,6.31,0.57,1.15,1.15,0,5.16,1.15,0,0,1.72,0,0,0,0,0
 60-70,0,0,1.96,0,14.72,0,0,0,2.94,0,0,0,0,0.98,0.98,0.98,0,0.98,0.98,0,0,1.96,0,0.98,1.96,0,5.89,0.98,0,0,0.98,0,0,0,0,0.98
 72-82,1.96,0.98,10.8,0.98,24.54,0,0.98,0,5.89,2.94,0.98,0.98,0.98,0.98,1.96,0,0,3.93,0.98,0,1.96,21.6,0,2.94,3.93,0,7.85,0,0.98,0,0.98,1.96,0,0.98,0,0.98
 84-94,3.19,4.25,24.43,0,33.99,0,1.06,0,5.31,3.19,1.06,0,3.19,9.56,3.19,0,0,7.43,3.19,2.12,0,12.74,0,2.12,8.5,0,33.99,3.19,0,0,1.06,3.19,0,2.12,0,0
 96-106,0,9.84,17.49,1.09,33.88,0,0,1.09,2.19,10.93,0,0,3.28,5.46,2.19,0,0,16.39,5.46,1.09,0,25.14,0,2.19,19.67,0,41.53,3.28,0,0,1.09,7.65,1.09,2.19,0,0
108-118,0,6.89,9.19,3.06,22.98,0,2.3,0,3.83,12.26,0.77,0.77,3.83,5.36,4.6,0.77,0.77,2.3,2.3,0,0.77,13.79,0.77,0,8.43,0,20.68,1.53,0,0,1.53,2.3,0,1.53,0,0.77
120,0,5.88,5.88,0,21.56,0,0,0,1.96,11.76,0,0,7.84,3.92,3.92,0,0,7.84,1.96,0,0,9.8,0,3.92,1.96,0,31.36,0,0,0,0,0,0,0,1.96,0
