stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.14,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,13.14,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,0,0,0,0,0,0,0,0,0,8,0,6,5,0,0,1,0,0,1,4,0,6,3,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,1.64,0,0,0,27.09,0,9.03,7.39,0.82,0,0.82,0,0,0,0,0,1.64,1.64,0,0,7.39,0,0
 36-46,0,0,0,1.61,0,0.81,1.61,0.81,0,0,2.42,0,0,0,32.23,0.81,11.28,4.03,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,1.72,0.57,0,0,0,0,0,1.15,20.08,0.57,6.31,3.44,0.57,0,0,0,0,0,0,0,0,0.57,0,0.57,4.02,0,0.57
 60-70,0,0,0,0,0,0.98,3.93,0.98,0,0,0,0,1.96,0.98,37.3,0,3.93,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0.98,0.98
 72-82,0,0,0,0,0,1.96,10.8,3.93,0,0,0,0,2.94,0,67.73,3.93,6.87,2.94,0.98,0,0,0,0,0,0,0,0,0,0,1.96,4.91,0.98,0
 84-94,0,0,0,1.06,1.06,3.19,8.5,1.06,0,0,0,1.06,4.25,0,52.04,1.06,4.25,4.25,1.06,1.06,0,0,0,1.06,0,0,0,0,0,1.06,3.19,3.19,0
 96-106,0,0,0,1.09,0,2.19,6.56,2.19,0,0,0,0,20.76,0,62.29,3.28,7.65,5.46,1.09,0,1.09,0,3.28,1.09,0,0,0,2.19,0,3.28,4.37,5.46,0
108-118,0,0,0,4.6,0,4.6,6.13,0.77,0,0,0.77,0.77,72.77,0,72.77,1.53,2.3,6.89,1.53,0,0,0,0.77,0,0,0,0,0.77,0.77,2.3,2.3,2.3,0.77
120,0,0,0,0,0,1.96,5.88,0,1.96,0,0,0,50.95,0,39.2,0,3.92,3.92,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,5.88
