stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,22,1,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,5,17,0,0,0,0,2,1,0,8,6,0,0,0,0,1
 24-34,0,6.57,0,0,3.28,0,0.82,0,0,0,0,0,0,6.57,0,8.21,0.82,0,0.82,55,0,0,0,4.1,0,0,0,2.46,18.88,0,0,2.46,0,0.82
 36-46,0,3.22,0.81,0,3.22,0,0,0,2.42,0,0,0,0,2.42,0,12.09,0,0,4.03,90.23,0,0,0,5.64,0,0,0,0,16.92,0,0,0.81,0,0
 48-58,0.57,4.02,0,0,19.51,0.57,0.57,0.57,2.3,0,0.57,0,0,0.57,0,9.75,0,0.57,2.87,120.5,0.57,0.57,0,5.74,0,0,0.57,0,18.36,0,0,0.57,0,0
 60-70,0,2.94,0,0,28.46,0,0.98,0,1.96,0.98,0,0.98,0,0,0,19.63,0,0,4.91,113.86,0,0,0.98,4.91,0,0,0,0,10.8,0,0.98,0,0,0
 72-82,0,2.94,0,0,67.73,0,0,0,22.58,3.93,0,0,0,0,0,21.6,5.89,0,2.94,163.94,0,0,0.98,4.91,0,0,0,0,6.87,0.98,1.96,4.91,0.98,0
 84-94,0,6.37,0,0,47.79,0,1.06,1.06,7.43,0,0,0,1.06,3.19,0,4.25,1.06,0,2.12,73.28,0,1.06,0,4.25,0,0,0,0,4.25,0,0,2.12,0,0
 96-106,0,5.46,0,0,41.53,0,0,0,8.74,0,0,0,1.09,1.09,1.09,14.21,0,1.09,0,75.41,0,2.19,0,2.19,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,5.36,0,0.77,23.74,0,0,1.53,5.36,0,0,0,1.53,1.53,0,13.79,0.77,0,1.53,78.13,0,0,0.77,0.77,0,0,0,0,1.53,0,0,2.3,1.53,0
120,0,3.92,0,0,27.44,0,0,0,7.84,3.92,0,0,0,0,0,13.72,0,0,0,76.43,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0
