stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,16,1,0,0,0,0,5,0,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0.82,0.82,0,0,0,1.64,0,0,1.64,32.83,0,1.64,0,0,1.64,0,0.82,0,4.1,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,4.03,0.81,0,1.61,0,0,0,0,4.03,0,0,0.81,3.22,0,0,0,41.89,0,0.81,0,0,0,0,0,0,4.83,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,10.33,0,0,2.87,0,0,0,0.57,1.15,0.57,0,0,2.87,0,0.57,0.57,26.4,0,0,1.15,0,0.57,0,0,0,5.16,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,33.37,0,0,5.89,0,0,0,0.98,0,0,0,0,1.96,0,0,2.94,32.39,0.98,1.96,0,0,0,0,0.98,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,20.61,0,0,5.89,0.98,0,0.98,0.98,0,0,0.98,0,10.8,0,0,0,32.39,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,6.37,0,0,1.06,0,0,0,2.12,0,0,0,0,3.19,0,0,1.06,27.61,0,0,1.06,0,1.06,0,0,0,3.19,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,6.56,0,1.09,1.09,0,0,0,2.19,2.19,0,2.19,0,4.37,1.09,1.09,1.09,14.21,0,1.09,1.09,0,0,0,0,0,1.09,0,1.09,2.19,0
108-118,0,0,0.77,0,3.06,1.53,0.77,3.06,0,0.77,1.53,1.53,0,0,3.06,2.3,2.3,0.77,0,3.83,1.53,0.77,0,16.85,0,2.3,0,0,2.3,0,0.77,0,0,0,0,1.53,0
120,0,0,0,0,1.96,1.96,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,0,7.84,0,0,1.96,13.72,1.96,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0
