stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,2,21,0,0,0,0
 24-34,0.82,0.82,0.82,0,2.46,0,0,3.28,0,0,0,0,0.82,1.64,0,1.64,158.43,0,0,0,0,0,0,0,0.82,53.36,0,0.82,0,0
 36-46,0.81,0,0,0,2.42,0,0.81,0.81,0,0,0,0,0,5.64,0,0,300.51,0,3.22,0,0,0,0,0,0,65.26,0,0.81,0,0
 48-58,1.15,0,2.87,0,22.95,0,0.57,2.3,0,0.57,0,0,0,2.3,0.57,0.57,323.05,0.57,1.15,0,0,0,0,0,0,51.07,0,1.15,0,0
 60-70,0.98,0,2.94,0,60.85,0.98,0,4.91,1.96,0,0,0,0,9.82,0,0,466.22,0,0,0,0,0.98,0,0.98,0,56.93,0,0.98,0,0
 72-82,3.93,0,3.93,2.94,97.18,0,0,7.85,0.98,0,1.96,0,0,8.83,0,0,423.1,0,0.98,0,0,0,0,0,0,50.06,0,1.96,0,0
 84-94,2.12,0,1.06,2.12,82.84,0,0,4.25,2.12,0,0,0,0,3.19,0,0,229.4,0,1.06,0,0,2.12,1.06,0,0,28.68,1.06,3.19,0,0
 96-106,4.37,0,2.19,0,60.11,0,0,8.74,1.09,0,1.09,0,1.09,7.65,0,1.09,179.23,0,0,2.19,0,2.19,0,0,0,6.56,0,2.19,1.09,0
108-118,1.53,0,1.53,0.77,42.89,0,0.77,8.43,2.3,0,0,1.53,0,2.3,0,0,189.96,0,0.77,0,0,0,0,0.77,0,7.66,0,1.53,0,0.77
120,1.96,0,7.84,0,52.91,0,0,3.92,1.96,0,1.96,0,0,3.92,0,0,217.54,0,1.96,0,0,1.96,0,0,0,9.8,0,5.88,0,0
