stage,epidermis,eye,fin_mesenchyme,glial,heart,mesenchyme,neural,notochord,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,6.45,0,0.81,0,0
 48-58,0,0.57,0,0.57,0,0,8.61,0,0.57,0,0.57
 60-70,0,2.94,0,0,0,0,15.7,0,0.98,0,0
 72-82,0.98,7.85,0,0,0,1.96,13.74,0,0,0,0.98
 84-94,0,5.31,0,0,0,1.06,9.56,0,1.06,0,0
 96-106,0,5.46,0,0,0,1.09,14.21,0,0,0,0
108-118,0.77,9.19,0,0,0.77,0,17.62,0,0,0.77,2.3
120,0,1.96,1.96,0,0,0,17.64,0,0,0,0
