stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,10,4,21,3,0,1,0,0,0,5,1,0,0,3,0,0,0,0,7,0,1,68,1,3,2,0,0,0,0,1,78,11,4,111,0,0,0,0,0
 24-34,0,0,9.03,0,16.42,0,0,9.03,0,0.82,0,4.1,0,0,0,0,0,0.82,0,0,27.09,0,9.85,283.2,1.64,4.1,2.46,0,0,5.75,0,0,21.34,0,0,247.9,0,0,1.64,0,5.75
 36-46,0,0,2.42,0.81,6.45,2.42,0,65.26,0,0,0.81,3.22,0,0.81,0,0.81,0,0.81,0,0,13.7,0,24.17,393.17,0,3.22,0,0,0,6.45,0,0,10.47,0,0,380.28,0,0,1.61,0,4.83
 48-58,0,0,1.15,0,6.31,0,0,107.88,0,0.57,0,14.92,0.57,0,0,0.57,0,0,0,0.57,16.64,0,22.38,288.05,0,0,0,0,0,4.59,0,0,5.74,0,0,315.59,0,0,1.15,0,2.87
 60-70,0,0,3.93,0,10.8,0,0,152.14,0,0,0,10.8,6.87,0,0.98,0,0.98,0,0,0,25.52,0,22.58,276.79,0,1.96,0.98,0,0,2.94,0,0,4.91,0,0,212.99,0.98,0,0,0,2.94
 72-82,0,0,36.32,0,24.54,1.96,0,100.13,0.98,1.96,2.94,14.72,13.74,0,0,0,0.98,0,0,0,46.14,0.98,28.47,289.59,0,2.94,0.98,0,0,1.96,0.98,0,7.85,0,0,161.97,8.83,0,4.91,0.98,2.94
 84-94,0,0,22.3,0,26.55,1.06,0,82.84,4.25,1.06,0,14.87,21.24,0,2.12,0,2.12,2.12,1.06,0,32.92,0,16.99,200.73,0,4.25,6.37,0,0,4.25,0,0,12.74,0,0,89.21,16.99,2.12,1.06,1.06,2.12
 96-106,0,0,25.14,0,29.51,0,0,81.96,4.37,2.19,1.09,22.95,25.14,0,2.19,0,1.09,1.09,4.37,0,27.32,0,19.67,177.04,0,1.09,14.21,0,0,7.65,3.28,0,9.84,0,0,42.62,25.14,0,0,0,0
108-118,0,0,21.45,0,12.26,0.77,0.77,75.83,0,3.83,0.77,19.92,16.09,0.77,1.53,0.77,1.53,0,0.77,0,32.94,0.77,12.26,207.58,0.77,4.6,11.49,0,0.77,5.36,0,0,11.49,0,0,22.98,32.17,0,0.77,0,0.77
120,0,0,7.84,0,21.56,0,0,62.71,3.92,1.96,0,25.48,11.76,0,1.96,0,0,0,0,0,23.52,0,3.92,178.34,0,3.92,3.92,0,0,1.96,0,0,7.84,0,0,52.91,9.8,0,1.96,0,0
